18-10-2015 14:02:57 infiSTAR.de | 0h 8min 36s | Dutchy(76561198049240061) | Too many Threads running on Client! 52 (KICKED) [FPS: 12.7796|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:05:59 infiSTAR.de | 0h 11min 35s | Dutchy(76561198049240061) | Too many Threads running on Client! 52 (KICKED) [FPS: 12.1858|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:07:30 infiSTAR.de | 0h 13min 5s | Alfawars(76561198126896745) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.9194|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:08:58 infiSTAR.de | 0h 14min 31s | Rainer Zufall(76561198064530814) | Too many Threads running on Client! 51 (KICKED) [FPS: 10.5194|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:10:00 infiSTAR.de | 0h 15min 31s | [GB] Scattman(76561198081782021) | Too many Threads running on Client! 51 (KICKED) [FPS: 11.0041|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:10:42 infiSTAR.de | 0h 16min 12s | V4mpir3Ki7ty(76561198089742919) | Too many Threads running on Client! 51 (KICKED) [FPS: 11.3879|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:11:35 infiSTAR.de | 0h 17min 3s | Dutchy(76561198049240061) | Too many Threads running on Client! 51 (KICKED) [FPS: 10.4644|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:12:17 infiSTAR.de | 0h 17min 43s | Jak Keen(76561198086856275) | BadScore on Client: added 10000 RESPECT! (14339 should be 4339) [FPS: 9.68523|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:13:48 infiSTAR.de | 0h 19min 10s | Condor(76561198130693315) | Too many Threads running on Client! 51 (KICKED) [FPS: 10.3627|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:15:11 infiSTAR.de | 0h 20min 29s | Kieran Copper(76561198077957992) | Too many Threads running on Client! 52 (KICKED) [FPS: 9.31858|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:15:55 infiSTAR.de | 0h 21min 10s | Brendan(76561198072946099) | BadMoney on Client: added 8000 POP TABS! (12273 should be 4273) [FPS: 9.17431|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:21:53 infiSTAR.de | 0h 26min 54s | |SGs| Jonty Fox(76561198116106029) | Too many Threads running on Client! 51 (KICKED) [FPS: 10.4439|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:23:58 infiSTAR.de | 0h 28min 50s | |SGs| Jonty Fox(76561198116106029) | Too many Threads running on Client! 52 (KICKED) [FPS: 9.99375|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:25:33 infiSTAR.de | 0h 30min 18s | Tim(76561198148345579) | Too many Threads running on Client! 51 (KICKED) [FPS: 10.3093|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:26:22 infiSTAR.de | 0h 31min 4s | |SGs| Jonty Fox(76561198116106029) | Too many Threads running on Client! 52 (KICKED) [FPS: 9.77995|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:29:29 infiSTAR.de | 0h 33min 59s | [GB] Nick(76561198117888285) | BadMoney on Client: added 8000 POP TABS! (46205 should be 38205) [FPS: 10.0756|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:32:32 infiSTAR.de | 0h 36min 49s | Tim(76561198148345579) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.13764|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:35:33 infiSTAR.de | 0h 39min 26s | CapoDiaz(76561198011163136) | BadMoney on Client: added 900 POP TABS! (982 should be 82) [FPS: 9.96264|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:36:00 infiSTAR.de | 0h 39min 50s | Ellis Scott(76561198071344384) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.31858|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:36:38 infiSTAR.de | 0h 40min 20s | Tim(76561198148345579) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.30666|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:37:50 infiSTAR.de | 0h 41min 23s | [GB] Scattman(76561198081782021) | BadMoney on Client: added 1000 POP TABS! (11658 should be 10658) [FPS: 8.93356|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:38:00 infiSTAR.de | 0h 41min 32s | Kieran Copper(76561198077957992) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.43396|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:38:05 infiSTAR.de | 0h 41min 36s | FUBAR(76561198002456814) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.15332|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:38:15 infiSTAR.de | 0h 41min 44s | Parker(76561198042073639) | Too many Threads running on Client! 51 (KICKED) [FPS: 8.31169|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:39:57 infiSTAR.de | 0h 43min 8s | Dr.Taco(76561198149023155) | Too many Threads running on Client! 51 (KICKED) [FPS: 7.20396|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:39:58 infiSTAR.de | 0h 43min 8s | SniperMan(76561198094861860) | Too many Threads running on Client! 52 (KICKED) [FPS: 6.18956|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:40:21 infiSTAR.de | 0h 43min 29s | [GB] Scattman(76561198081782021) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.66184|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:40:21 infiSTAR.de | 0h 43min 29s | SwizzZ(76561198083392843) | Too many Threads running on Client! 52 (KICKED) [FPS: 9.12201|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:41:16 infiSTAR.de | 0h 44min 16s | Mason Musick(76561198046238209) | Too many Threads running on Client! 51 (KICKED) [FPS: 8.35946|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:41:34 infiSTAR.de | 0h 44min 31s | SniperMan(76561198094861860) | Too many Threads running on Client! 51 (KICKED) [FPS: 8.30306|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:42:25 infiSTAR.de | 0h 45min 13s | steve assad(76561198077180198) | Too many Threads running on Client! 51 (KICKED) [FPS: 8.01202|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:42:33 infiSTAR.de | 0h 45min 20s | Brent(76561198062191920) | Too many Threads running on Client! 51 (KICKED) [FPS: 9.24321|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:43:30 infiSTAR.de | 0h 45min 59s | MultaiGamer(76561198079792805) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.18135|SERVERTHREADS: 43] (v0015D)
18-10-2015 14:44:27 infiSTAR.de | 0h 46min 35s | SwizzZ(76561198083392843) | BadMoney on Client: added 30000 POP TABS! (30004 should be 4) [FPS: 5.29626|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:44:32 infiSTAR.de | 0h 46min 38s | baconjman(76561198128119112) | Too many Threads running on Client! 51 (KICKED) [FPS: 7.07026|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:49:20 infiSTAR.de | 0h 49min 35s | Parker(76561198042073639) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.52295|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:50:31 infiSTAR.de | 0h 50min 16s | Tim(76561198148345579) | Too many Threads running on Client! 53 (KICKED) [FPS: 6.31912|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:51:54 infiSTAR.de | 0h 51min 7s | Jozef (76561198061818507) | BadMoney on Client: added 900 POP TABS! (1175 should be 275) [FPS: 5.89753|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:52:16 infiSTAR.de | 0h 51min 21s | Bryce Robert(76561198101308155) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.31164|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:52:35 infiSTAR.de | 0h 51min 33s | hobo(76561198027257409) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.89953|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:53:06 infiSTAR.de | 0h 51min 51s | SwizzZ(76561198083392843) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.52529|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:53:49 infiSTAR.de | 0h 52min 19s | itsfo(76561198047187883) | Too many Threads running on Client! 51 (KICKED) [FPS: 7.26612|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:57:59 infiSTAR.de | 0h 54min 56s | Bud Bro(76561198119761442) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.08828|SERVERTHREADS: 45] (v0015D)
18-10-2015 14:58:07 infiSTAR.de | 0h 55min 0s | Hayden(76561198066104283) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.97461|SERVERTHREADS: 44] (v0015D)
18-10-2015 14:58:46 infiSTAR.de | 0h 55min 24s | magicalmeatstick(76561197987382035) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.55738|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:00:27 infiSTAR.de | 0h 56min 23s | Bananapowah(76561198044876089) | Too many Threads running on Client! 51 (KICKED) [FPS: 7.25295|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:00:39 infiSTAR.de | 0h 56min 30s | Alexander(76561198076586202) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.81818|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:00:56 infiSTAR.de | 0h 56min 41s | baconjman(76561198128119112) | Too many Threads running on Client! 52 (KICKED) [FPS: 6.49087|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:02:20 infiSTAR.de | 0h 57min 34s | RabidSquirrel(76561198087855338) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.3593|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:03:46 infiSTAR.de | 0h 58min 28s | SniperMan(76561198094861860) | Too many Threads running on Client! 54 (KICKED) [FPS: 5.95681|SERVERTHREADS: 44] (v0015D)
