27-01-2016 13:49:57 infiSTAR.de | 0h 35min 25s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 15.0235|SERVERTHREADS: 37] (v0029)
27-01-2016 13:50:02 infiSTAR.de | 0h 35min 30s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @179299 [17999,19699.2,0.0700073] [FPS: 14.2096|SERVERTHREADS: 37] (v0029)
27-01-2016 13:50:33 infiSTAR.de | 0h 36min 2s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 10.263|SERVERTHREADS: 37] (v0029)
27-01-2016 13:50:34 infiSTAR.de | 0h 36min 2s | bambam(76561198112160451) | WALL LOOK CHECK (looked through Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.1111|SERVERTHREADS: 37] (v0029)
27-01-2016 13:50:53 infiSTAR.de | 0h 36min 21s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 13.7575|SERVERTHREADS: 37] (v0029)
27-01-2016 13:51:23 infiSTAR.de | 0h 36min 51s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.8168|SERVERTHREADS: 37] (v0029)
27-01-2016 13:51:34 infiSTAR.de | 0h 37min 1s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.6959|SERVERTHREADS: 37] (v0029)
27-01-2016 13:51:40 infiSTAR.de | 0h 37min 8s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.7,19691.6,-0.779739] [FPS: 12.5|SERVERTHREADS: 37] (v0029)
27-01-2016 13:51:48 infiSTAR.de | 0h 37min 16s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17998.9,19705.8,2.12569] [FPS: 11.9225|SERVERTHREADS: 37] (v0029)
27-01-2016 13:51:58 infiSTAR.de | 0h 37min 26s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17998.9,19705.8,2.12569] [FPS: 12.4031|SERVERTHREADS: 37] (v0029)
