26-01-2016 18:08:04 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Rangefinder (Rangefinder) on the ground infront of DevilDogGamer! (v0029)
26-01-2016 18:08:14 infiSTAR.de | De Gone(76561198057838365) | Spawning AKS (CUP_arifle_AKS_Gold) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:21 infiSTAR.de | De Gone(76561198057838365) | Spawning Rangefinder (Rangefinder) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:22 infiSTAR.de | De Gone(76561198057838365) | Spawning Rangefinder (Rangefinder) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:27 infiSTAR.de | De Gone(76561198057838365) | Spawning Laser Designator [AAF] (Laserdesignator_03) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:32 infiSTAR.de | De Gone(76561198057838365) | Spawning M240 (CUP_lmg_M240) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:33 infiSTAR.de | De Gone(76561198057838365) | Spawning M240 (CUP_lmg_M240) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:34 infiSTAR.de | De Gone(76561198057838365) | Spawning M249 PIP (VFG/PIP Stock) (CUP_lmg_m249_pip4) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:38 infiSTAR.de | De Gone(76561198057838365) | Spawning M60E4 (hlc_lmg_M60E4) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:43 infiSTAR.de | De Gone(76561198057838365) | Spawning Explosive Satchel (SatchelCharge_Remote_Mag) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:44 infiSTAR.de | De Gone(76561198057838365) | Spawning Explosive Satchel (SatchelCharge_Remote_Mag) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:45 infiSTAR.de | De Gone(76561198057838365) | Spawning Explosive Satchel (SatchelCharge_Remote_Mag) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:46 infiSTAR.de | De Gone(76561198057838365) | Spawning APERS Mine (APERSMine_Range_Mag) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:46 infiSTAR.de | De Gone(76561198057838365) | Spawning APERS Mine (APERSMine_Range_Mag) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:53 infiSTAR.de | De Gone(76561198057838365) | Spawning AS50 (CUP_srifle_AS50) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:54 infiSTAR.de | De Gone(76561198057838365) | Spawning AS50 (CUP_srifle_AS50) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:56 infiSTAR.de | De Gone(76561198057838365) | Spawning M107 (CUP_srifle_M107_Base) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:57 infiSTAR.de | De Gone(76561198057838365) | Spawning M107 (CUP_srifle_M107_Base) on the ground infront of De Gone! (v0029)
26-01-2016 18:09:20 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [12497.1,1629.32,0](GPS: 124118) (v0029)
26-01-2016 18:09:26 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [12487.2,1728.79,0](GPS: 124119) (v0029)
26-01-2016 18:10:10 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [13537.3,3259.02,0](GPS: 135134) (v0029)
26-01-2016 18:10:16 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Rangefinder (Rangefinder) on DevilDogGamer! (v0029)
26-01-2016 18:10:38 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [6932.96,13518.4,0](GPS: 069237) (v0029)
26-01-2016 18:11:18 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [8167.2,13103.4,0](GPS: 081233) (v0029)
26-01-2016 18:12:19 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @047192.. (v0029)
26-01-2016 18:12:28 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1507.83,1137.45,0](GPS: 015113) (v0029)
26-01-2016 18:12:40 infiSTAR.de | Falcon911(76561197974470549) | God Mode - 1 (v0029)
26-01-2016 18:13:24 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [6611.03,13158.7,0](GPS: 066233) (v0029)
26-01-2016 18:13:42 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:14:07 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on DevilDogGamer(76561198061701771) (v0029)
