15-01-2016 20:28:39 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - RAgPolE [CIV](76561198074424969) (v0027C)
15-01-2016 20:28:56 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - RAgPolE [CIV](76561198074424969) (v0027C)
15-01-2016 20:28:56 infiSTAR.de | Falcon911(76561197974470549) | Teleported RAgPolE(76561198074424969) from [13897.2,5358.64,0.535447](138155) to [13897.2,5358.64,0.535447](138155)  (0m) (v0027C)
15-01-2016 20:30:20 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [7038.48,3077.71,0](GPS: 070133) (v0027C)
15-01-2016 20:30:22 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1371.24,1224.65,0](GPS: 013114) (v0027C)
15-01-2016 20:30:42 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [390.376,-1464.12,0](GPS: 003087) (v0027C)
15-01-2016 20:30:45 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1383.35,1224.65,0](GPS: 013114) (v0027C)
15-01-2016 20:31:24 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on Brotha Grimm(76561198161195934) (v0027C)
15-01-2016 20:31:27 infiSTAR.de | Falcon911(76561197974470549) | Add / Remove Money - Buck Lulu [GUER](76561198081344515) (v0027C)
15-01-2016 20:32:32 infiSTAR.de | Falcon911(76561197974470549) | Spawning Duct Tape (Exile_Item_DuctTape) on chaseh! (v0027C)
15-01-2016 20:32:34 infiSTAR.de | Falcon911(76561197974470549) | Spawning Duct Tape (Exile_Item_DuctTape) on chaseh! (v0027C)
15-01-2016 20:33:32 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on Lane LeBron(76561198141588823) (v0027C)
15-01-2016 20:33:59 infiSTAR.de | Falcon911(76561197974470549) | spawning AR-2 Darter (B_UAV_01_F) (v0027C)
15-01-2016 20:34:24 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [19575.3,19213.4,0](GPS: 195294) (v0027C)
15-01-2016 20:34:27 infiSTAR.de | Falcon911(76561197974470549) |  (v0027C)
15-01-2016 20:37:57 infiSTAR.de | Falcon911(76561197974470549) | Deleting B_UAV_01_F @195294.. (v0027C)
15-01-2016 20:39:17 infiSTAR.de | Falcon911(76561197974470549) | Add / Remove Money - Lane LeBron [GUER](76561198141588823) (v0027C)
15-01-2016 20:40:09 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027C)
15-01-2016 20:40:30 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - TheGreenBastard [GUER](76561198239583742) (v0027C)
15-01-2016 20:40:49 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - TheGreenBastard [GUER](76561198239583742) (v0027C)
15-01-2016 20:40:57 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - TheGreenBastard [GUER](76561198239583742) (v0027C)
15-01-2016 20:40:59 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - TheGreenBastard [GUER](76561198239583742) (v0027C)
15-01-2016 20:41:10 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - TheGreenBastard [GUER](76561198239583742) (v0027C)
15-01-2016 20:41:12 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - TheGreenBastard [GUER]() (v0027C)
15-01-2016 20:44:50 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - NATas_000 [GUER (R NATas_000's Party)](76561198087362651) (v0027C)
15-01-2016 20:46:25 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1326.15,1170.32,0](GPS: 013114) (v0027C)
15-01-2016 20:52:08 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: Who else is floating? (v0027C)
15-01-2016 20:52:49 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Ayden [GUER](76561198046061798) (v0027C)
15-01-2016 20:53:11 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - Ayden [GUER](76561198046061798) (v0027C)
15-01-2016 20:53:12 infiSTAR.de | Falcon911(76561197974470549) | Teleported Ayden(76561198046061798) from [13862.6,5393.97,9.08479](138156) to [13862.6,5393.97,9.08479](138156)  (0m) (v0027C)
15-01-2016 20:54:08 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Jordan [GUER](76561197985564576) (v0027C)
15-01-2016 20:55:16 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [11704.6,4285.16,0](GPS: 117145) (v0027C)
15-01-2016 20:56:54 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [20461.5,18543.1,0](GPS: 204287) (v0027C)
15-01-2016 20:57:42 infiSTAR.de | Falcon911(76561197974470549) | Self Disconnect (v0027C)
15-01-2016 20:59:15 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: if you are floating . goto lobby and back.  (v0027C)
15-01-2016 21:00:25 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on Sean(76561197962294113) (v0027C)
15-01-2016 21:00:37 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR MapIcons - 1 (v0027C)
15-01-2016 21:00:38 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 21:01:00 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [15351.9,5695.04,0](GPS: 153159) (v0027C)
15-01-2016 21:02:10 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [15347,5689.53,283.269](GPS: 153159) (v0027C)
15-01-2016 21:02:14 infiSTAR.de | Falcon911(76561197974470549) | God Mode - 1 (v0027C)
15-01-2016 21:02:59 infiSTAR.de | Falcon911(76561197974470549) | Deleting WeaponHolderSimulated @153159.. (v0027C)
15-01-2016 21:03:00 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Unit_Player @153159.. (v0027C)
15-01-2016 21:03:01 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_OldBike @153159.. (v0027C)
15-01-2016 21:03:01 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_MountainBike @153159.. (v0027C)
15-01-2016 21:03:02 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_OldBike @153159.. (v0027C)
15-01-2016 21:03:03 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_MountainBike @153159.. (v0027C)
15-01-2016 21:03:03 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_MountainBike @153159.. (v0027C)
15-01-2016 21:03:04 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_OldBike @153159.. (v0027C)
15-01-2016 21:03:04 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_MountainBike @153159.. (v0027C)
15-01-2016 21:03:06 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_OldBike @153159.. (v0027C)
15-01-2016 21:03:07 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_OldBike @153159.. (v0027C)
15-01-2016 21:03:07 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Bike_MountainBike @153159.. (v0027C)
15-01-2016 21:03:31 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [16021.3,4734.14,0](GPS: 160149) (v0027C)
15-01-2016 21:03:55 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [15962.9,4485.88,0](GPS: 159147) (v0027C)
15-01-2016 21:04:14 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [15886.7,4409.78,0](GPS: 158146) (v0027C)
15-01-2016 21:06:20 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [4068.05,7834.11,0](GPS: 040180) (v0027C)
15-01-2016 21:06:27 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR AI ESP - 1 (v0027C)
15-01-2016 21:09:14 infiSTAR.de | Falcon911(76561197974470549) | Vehboost - 1 (v0027C)
15-01-2016 21:09:14 infiSTAR.de | Falcon911(76561197974470549) | UnlimAmmo - 1 (v0027C)
15-01-2016 21:09:15 infiSTAR.de | Falcon911(76561197974470549) | Vehboost - 0 (v0027C)
15-01-2016 21:09:16 infiSTAR.de | Falcon911(76561197974470549) | noRecoil - 1 (v0027C)
15-01-2016 21:16:19 infiSTAR.de | Falcon911(76561197974470549) |  (v0027C)
15-01-2016 21:16:26 infiSTAR.de | Falcon911(76561197974470549) | Spawning Beta-c Mag. (CUP_100Rnd_556x45_BetaCMag) on Falcon911! (v0027C)
15-01-2016 21:17:29 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [4118.62,7990.64,0](GPS: 041182) (v0027C)
15-01-2016 21:19:17 infiSTAR.de | Falcon911(76561197974470549) | UnlimAmmo - 0 (v0027C)
15-01-2016 21:19:18 infiSTAR.de | Falcon911(76561197974470549) | noRecoil - 0 (v0027C)
15-01-2016 21:21:22 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: free loot for anyone in/near jasim (v0027C)
15-01-2016 21:22:09 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR AI ESP - 0 (v0027C)
15-01-2016 21:22:09 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 0 (v0027C)
15-01-2016 21:22:12 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 21:22:59 infiSTAR.de | Double A.(76561198069335401) | Teleport to [1395.55,1302.63,0](GPS: 013115) (v0027C)
15-01-2016 21:23:10 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0027C)
