21-01-2016 11:46:59 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6517.91,15805.1,0](GPS: 065260) (v0027A)
21-01-2016 11:47:02 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20298.4,11844.1,0](GPS: 202220) (v0027A)
21-01-2016 12:01:07 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7249.69,10999.5,0](GPS: 072212) (v0027A)
21-01-2016 12:01:45 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1330.52,14676.5,0](GPS: 013249) (v0027A)
21-01-2016 12:08:53 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8623.89,9983.56,0](GPS: 086202) (v0027A)
21-01-2016 12:09:30 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7546.92,6788.83,0](GPS: 075170) (v0027A)
21-01-2016 12:12:01 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7589.13,6839.75,0](GPS: 075170) (v0027A)
21-01-2016 12:12:16 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7554.62,6885.46,0](GPS: 075171) (v0027A)
21-01-2016 12:19:51 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6134.48,6540.55,0](GPS: 061167) (v0027A)
21-01-2016 12:26:33 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3090.76,4502.77,0](GPS: 030147) (v0027A)
21-01-2016 12:26:57 infiSTAR.de | King Heavy(76561197991198861) | spawning Volha (Exile_Car_Volha_White) (v0027A)
21-01-2016 12:27:55 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3241.46,4639.27,0](GPS: 032148) (v0027A)
21-01-2016 12:28:38 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5046.58,6977.49,0](GPS: 050172) (v0027A)
21-01-2016 12:28:51 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5855.05,6546.87,0](GPS: 058167) (v0027A)
21-01-2016 12:31:54 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8645.84,9988.32,0](GPS: 086202) (v0027A)
21-01-2016 12:34:08 infiSTAR.de | King Heavy(76561197991198861) | Deleting Exile_Car_Strider @085202.. (v0027A)
21-01-2016 12:34:57 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8476.81,9943.11,0](GPS: 084201) (v0027A)
21-01-2016 12:39:56 infiSTAR.de | King Heavy(76561197991198861) | spawning Strider (Exile_Car_Strider) (v0027A)
21-01-2016 12:43:18 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [10204.3,7497.71,0](GPS: 102177) (v0027A)
21-01-2016 12:50:06 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9094.37,13314.6,0](GPS: 090235) (v0027A)
21-01-2016 12:51:29 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [19559.7,12674.5,0](GPS: 195229) (v0027A)
21-01-2016 13:02:36 infiSTAR.de | King Heavy(76561197991198861) | Heal - R Bravo 2-3:1 (Specialist Edge) REMOTE(76561198034872065) (v0027A)
21-01-2016 13:02:56 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20293.3,11885.6,0](GPS: 202221) (v0027A)
21-01-2016 13:04:00 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8774.04,11161.3,0](GPS: 087214) (v0027A)
21-01-2016 13:05:50 infiSTAR.de | King Heavy(76561197991198861) | spawning BMP-1 (CUP_O_BMP1_TKA) (v0027A)
21-01-2016 13:06:11 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_O_BMP1_TKA @087213.. (v0027A)
21-01-2016 13:08:19 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8147.65,7469.85,0](GPS: 081177) (v0027A)
21-01-2016 13:08:29 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8552.09,9931.01,0](GPS: 085201) (v0027A)
21-01-2016 13:11:50 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3242.12,3744.86,0](GPS: 032139) (v0027A)
21-01-2016 13:12:12 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20311.2,11418.9,0](GPS: 203216) (v0027A)
21-01-2016 13:13:09 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3261.57,3732.16,0](GPS: 032139) (v0027A)
21-01-2016 13:28:05 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [649.751,1203.38,0](GPS: 006114) (v0027A)
21-01-2016 13:28:21 infiSTAR.de | King Heavy(76561197991198861) | spawning A-10C Thunderbolt II (CAS) (CUP_B_A10_CAS_USA) (v0027A)
21-01-2016 13:28:37 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0027A)
21-01-2016 13:35:00 infiSTAR.de | J. Thomas(76561198087140410) | God Mode - 1 (v0027A)
21-01-2016 13:35:01 infiSTAR.de | J. Thomas(76561198087140410) | Vehicle God Mode - 1 (v0027A)
21-01-2016 13:35:01 infiSTAR.de | J. Thomas(76561198087140410) | Stealth / Invisible - 1 (v0027A)
21-01-2016 13:35:02 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR MapIcons - 1 (v0027A)
21-01-2016 13:35:03 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR Player ESP - 1 (v0027A)
21-01-2016 13:36:43 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [4326.47,14510.1,0](GPS: 043247) (v0027A)
21-01-2016 13:37:40 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [5713.89,13746.4,0](GPS: 057239) (v0027A)
21-01-2016 13:38:53 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [1601.02,8250.59,0](GPS: 016184) (v0027A)
21-01-2016 13:39:31 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [1582.04,8246,0](GPS: 015184) (v0027A)
21-01-2016 13:42:21 infiSTAR.de | J. Thomas(76561198087140410) | Spawning AA-12 (CUP_sgun_AA12) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:24 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Pellets (CUP_20Rnd_B_AA12_Pellets) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:25 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Slug (CUP_20Rnd_B_AA12_74Slug) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:25 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 HE (CUP_20Rnd_B_AA12_HE) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:27 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 HE (CUP_20Rnd_B_AA12_HE) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:28 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Slug (CUP_20Rnd_B_AA12_74Slug) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:28 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Pellets (CUP_20Rnd_B_AA12_Pellets) on the ground infront of J. Thomas! (v0027A)
21-01-2016 13:42:38 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_A10_CAS_USA @015184.. (v0027A)
21-01-2016 13:43:01 infiSTAR.de | J. Thomas(76561198087140410) | Stealth / Invisible - 0 (v0027A)
21-01-2016 13:43:12 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
21-01-2016 13:43:16 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 0 (v0027A)
21-01-2016 13:43:17 infiSTAR.de | J. Thomas(76561198087140410) | Deleting GroundWeaponHolder @016185.. (v0027A)
21-01-2016 13:43:30 infiSTAR.de | J. Thomas(76561198087140410) | SPECTATE - switchedCamera on mtntbooom(76561198133836770) (v0027A)
21-01-2016 13:44:03 infiSTAR.de | J. Thomas(76561198087140410) | Deleting GroundWeaponHolder @016185.. (v0027A)
21-01-2016 13:44:58 infiSTAR.de | J. Thomas(76561198087140410) | Deleting GroundWeaponHolder @016185.. (v0027A)
21-01-2016 13:45:25 infiSTAR.de | King Heavy(76561197991198861) | Spawning Dog Food (Raw) (Exile_Item_DogFood) on the ground infront of King Heavy! (v0027A)
21-01-2016 13:48:48 infiSTAR.de | J. Thomas(76561198087140410) | Deleting GroundWeaponHolder @016185.. (v0027A)
21-01-2016 13:49:05 infiSTAR.de | J. Thomas(76561198087140410) | Deleting GroundWeaponHolder @016185.. (v0027A)
21-01-2016 13:49:13 infiSTAR.de | J. Thomas(76561198087140410) | Spawning AA-12 (CUP_sgun_AA12) on J. Thomas! (v0027A)
21-01-2016 13:49:33 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Pellets (CUP_20Rnd_B_AA12_Pellets) on J. Thomas! (v0027A)
21-01-2016 13:49:34 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Pellets (CUP_20Rnd_B_AA12_Pellets) on J. Thomas! (v0027A)
21-01-2016 13:49:35 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Slug (CUP_20Rnd_B_AA12_74Slug) on J. Thomas! (v0027A)
21-01-2016 13:49:36 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 Slug (CUP_20Rnd_B_AA12_74Slug) on J. Thomas! (v0027A)
21-01-2016 13:49:37 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 HE (CUP_20Rnd_B_AA12_HE) on J. Thomas! (v0027A)
21-01-2016 13:49:37 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 HE (CUP_20Rnd_B_AA12_HE) on J. Thomas! (v0027A)
21-01-2016 13:49:38 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 HE (CUP_20Rnd_B_AA12_HE) on J. Thomas! (v0027A)
21-01-2016 13:49:39 infiSTAR.de | J. Thomas(76561198087140410) | Spawning 20Rnd. AA12 HE (CUP_20Rnd_B_AA12_HE) on J. Thomas! (v0027A)
21-01-2016 13:52:07 infiSTAR.de | King Heavy(76561197991198861) | Spawning M240 (CUP_lmg_M240) on King Heavy! (v0027A)
21-01-2016 13:52:56 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [6636.42,17267.2,0](GPS: 066275) (v0027A)
21-01-2016 13:53:02 infiSTAR.de | J. Thomas(76561198087140410) | unlocked - [CUP_C_Datsun_Tubeframe] (v0027A)
21-01-2016 13:55:34 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [4638.06,13405.9,0](GPS: 046236) (v0027A)
21-01-2016 13:56:37 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [5887.44,11633,0](GPS: 058218) (v0027A)
21-01-2016 13:56:49 infiSTAR.de | J. Thomas(76561198087140410) | Stealth / Invisible - 1 (v0027A)
21-01-2016 13:56:58 infiSTAR.de | J. Thomas(76561198087140410) | Self Disconnect (v0027A)
21-01-2016 13:58:09 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
21-01-2016 14:00:33 infiSTAR.de | King Heavy(76561197991198861) | Spawning SUSAT L9A1 (CUP_optic_SUSAT) on King Heavy! (v0027A)
21-01-2016 14:00:51 infiSTAR.de | King Heavy(76561197991198861) | Spawning SUSAT L9A1 (CUP_optic_SUSAT) on King Heavy! (v0027A)
21-01-2016 14:03:29 infiSTAR.de | King Heavy(76561197991198861) | Spawning Schmidt and Bender 1.1-4x20 PM ShortDot (CUP_optic_SB_11_4x20_PM) on King Heavy! (v0027A)
21-01-2016 14:05:50 infiSTAR.de | King Heavy(76561197991198861) | Spawning Trijicon Rx01 Red Dot sight (Black) (CUP_optic_TrijiconRx01_black) on King Heavy! (v0027A)
21-01-2016 14:06:05 infiSTAR.de | King Heavy(76561197991198861) | Deleting GroundWeaponHolder @016184.. (v0027A)
21-01-2016 14:06:40 infiSTAR.de | King Heavy(76561197991198861) | Spawning Trijicon Rx01 Red Dot sight (Black) (CUP_optic_TrijiconRx01_black) on King Heavy! (v0027A)
21-01-2016 14:07:37 infiSTAR.de | King Heavy(76561197991198861) | Spawning M68 CCO (Black) (CUP_optic_CompM2_Black) on King Heavy! (v0027A)
21-01-2016 14:08:34 infiSTAR.de | King Heavy(76561197991198861) | Spawning AN/PAS 13C1 TWS (CUP_optic_AN_PAS_13c1) on King Heavy! (v0027A)
21-01-2016 14:08:44 infiSTAR.de | King Heavy(76561197991198861) | Deleting GroundWeaponHolder @016184.. (v0027A)
21-01-2016 14:09:00 infiSTAR.de | King Heavy(76561197991198861) | Spawning AN/PAS 13C1 TWS (CUP_optic_AN_PAS_13c1) on King Heavy! (v0027A)
21-01-2016 14:09:19 infiSTAR.de | King Heavy(76561197991198861) | Spawning AN/PAS 13C2 HTWS (CUP_optic_AN_PAS_13c2) on King Heavy! (v0027A)
21-01-2016 14:10:25 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
