25-01-2016 20:02:43 infiSTAR.de | 1h 28min 25s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 115m in 0.259766s (from [5024.89,13464.9,548.366] to [5105.92,13383.4,514.456]). TopSpeed of Steerable_Parachute_F is 300 speed was 1592.54. Player FPS: 32.5203. Alive for 5051.85s -  [FPS: 9.91326|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:43 infiSTAR.de | 1h 28min 25s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.255859s (from [5036.55,13452.9,540.233] to [5116.02,13374.1,505.127]). TopSpeed of Steerable_Parachute_F is 300 speed was 1575.46. Player FPS: 32.5203. Alive for 5052.14s -  [FPS: 9.90712|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:43 infiSTAR.de | 1h 28min 26s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 105m in 0.245117s (from [5057.79,13431.9,534.481] to [5133.2,13358.5,488.005]). TopSpeed of Steerable_Parachute_F is 300 speed was 1545.85. Player FPS: 31.1891. Alive for 5052.46s -  [FPS: 9.95644|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:44 infiSTAR.de | 1h 28min 26s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 94m in 0.213867s (from [5086.11,13404.5,524.935] to [5154.45,13339.9,467.347]). TopSpeed of Steerable_Parachute_F is 300 speed was 1583.96. Player FPS: 29.0909. Alive for 5052.76s -  [FPS: 10.101|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:44 infiSTAR.de | 1h 28min 26s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 122m in 0.279297s (from [5097.96,13393.1,517.757] to [5186.87,13309.2,451.36]). TopSpeed of Steerable_Parachute_F is 300 speed was 1575.61. Player FPS: 32. Alive for 5053.08s -  [FPS: 10.0883|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:44 infiSTAR.de | 1h 28min 27s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 129m in 0.295898s (from [5121.32,13370.8,495.836] to [5215.35,13282.1,435.326]). TopSpeed of Steerable_Parachute_F is 300 speed was 1572.8. Player FPS: 28.6225. Alive for 5053.45s -  [FPS: 10.0251|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:45 infiSTAR.de | 1h 28min 27s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 110m in 0.249023s (from [5134.45,13358.2,484.276] to [5214.48,13283.2,434.66]). TopSpeed of Steerable_Parachute_F is 300 speed was 1585.79. Player FPS: 28.7253. Alive for 5053.74s -  [FPS: 9.96264|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:45 infiSTAR.de | 1h 28min 27s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 116m in 0.266602s (from [5146.96,13346.4,472.277] to [5232.33,13267.9,420.396]). TopSpeed of Steerable_Parachute_F is 300 speed was 1566.19. Player FPS: 30.5344. Alive for 5054.05s -  [FPS: 9.88264|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:45 infiSTAR.de | 1h 28min 28s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 107m in 0.24707s (from [5158.85,13335.2,463.372] to [5237.83,13262.7,415.593]). TopSpeed of Steerable_Parachute_F is 300 speed was 1562.61. Player FPS: 30.6513. Alive for 5054.33s -  [FPS: 9.9194|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:46 infiSTAR.de | 1h 28min 28s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 116m in 0.265625s (from [5171.38,13323.5,456.836] to [5256.81,13245.1,400.358]). TopSpeed of Steerable_Parachute_F is 300 speed was 1570.8. Player FPS: 30.5927. Alive for 5054.64s -  [FPS: 9.79192|SERVERTHREADS: 36] (v0029)
