21-01-2016 11:14:44 infiSTAR.de | 2h 35min 59s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 124m in 0.255005s (from [10006.7,10032.4,886.854] to [9953.88,9920.61,839.534]). TopSpeed of Steerable_Parachute_F is 300 speed was 1745.73. Player FPS: 49.6894. Alive for 751.028s -  [FPS: 18.6263|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:44 infiSTAR.de | 2h 35min 59s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 118m in 0.247986s (from [10006.4,10032.3,886.861] to [9958.02,9924.86,836.613]). TopSpeed of Steerable_Parachute_F is 300 speed was 1710.25. Player FPS: 59.4796. Alive for 751.278s -  [FPS: 18.4332|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:44 infiSTAR.de | 2h 35min 60s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 124m in 0.255981s (from [10005.8,10031.3,886.568] to [9948.06,9921.64,850.948]). TopSpeed of Steerable_Parachute_F is 300 speed was 1743.51. Player FPS: 62.7451. Alive for 751.537s -  [FPS: 18.244|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:44 infiSTAR.de | 2h 35min 60s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 128m in 0.249023s (from [10005.5,10031.3,886.571] to [9941.03,9921.08,856.348]). TopSpeed of Steerable_Parachute_F is 300 speed was 1845.55. Player FPS: 62.9921. Alive for 751.788s -  [FPS: 18.2648|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:45 infiSTAR.de | 2h 36min 0s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 137m in 0.257996s (from [10005.2,10031.1,886.575] to [9938.28,9911.67,846.963]). TopSpeed of Steerable_Parachute_F is 300 speed was 1911.12. Player FPS: 65.8436. Alive for 752.048s -  [FPS: 18.4971|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:45 infiSTAR.de | 2h 36min 0s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 123m in 0.252991s (from [10004.6,10030.2,886.303] to [9947.78,9921.61,849.96]). TopSpeed of Steerable_Parachute_F is 300 speed was 1743.7. Player FPS: 62.7451. Alive for 752.303s -  [FPS: 18.3908|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:45 infiSTAR.de | 2h 36min 1s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 131m in 0.251953s (from [10004.3,10030,886.31] to [9942.65,9914.87,867.882]). TopSpeed of Steerable_Parachute_F is 300 speed was 1866.45. Player FPS: 67.2269. Alive for 752.557s -  [FPS: 18.3697|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:45 infiSTAR.de | 2h 36min 1s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 123m in 0.26001s (from [10003.2,10028.3,886.1] to [9943.83,9920.66,869.735]). TopSpeed of Steerable_Parachute_F is 300 speed was 1702.26. Player FPS: 65.5738. Alive for 752.819s -  [FPS: 18.3908|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:46 infiSTAR.de | 2h 36min 1s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 123m in 0.251953s (from [10002.5,10027.4,885.959] to [9946.74,9917.25,860.514]). TopSpeed of Steerable_Parachute_F is 300 speed was 1763.84. Player FPS: 62.9921. Alive for 753.073s -  [FPS: 18.4332|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:46 infiSTAR.de | 2h 36min 1s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 126m in 0.251038s (from [10001.5,10025.6,885.604] to [9949.81,9911.15,857.56]). TopSpeed of Steerable_Parachute_F is 300 speed was 1800.75. Player FPS: 59.4796. Alive for 753.326s -  [FPS: 18.3697|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:46 infiSTAR.de | 2h 36min 2s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 120m in 0.252991s (from [10000.6,10023.8,885.268] to [9954.77,9913.11,859.6]). TopSpeed of Steerable_Parachute_F is 300 speed was 1704.24. Player FPS: 62.2568. Alive for 753.582s -  [FPS: 18.3066|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:46 infiSTAR.de | 2h 36min 2s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 129m in 0.265991s (from [10000.3,10023.5,885.282] to [9953.36,9903.34,859.378]). TopSpeed of Steerable_Parachute_F is 300 speed was 1746.75. Player FPS: 64.257. Alive for 753.85s -  [FPS: 18.2857|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:47 infiSTAR.de | 2h 36min 2s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 127m in 0.244995s (from [9999.43,10021.8,885.027] to [9948.83,9905.29,866.774]). TopSpeed of Steerable_Parachute_F is 300 speed was 1865.82. Player FPS: 64.257. Alive for 754.097s -  [FPS: 18.2648|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:47 infiSTAR.de | 2h 36min 2s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 135m in 0.261963s (from [9998.75,10020.8,884.958] to [9939.8,9899.36,864.604]). TopSpeed of Steerable_Parachute_F is 300 speed was 1855.58. Player FPS: 65.0406. Alive for 754.362s -  [FPS: 18.1612|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:47 infiSTAR.de | 2h 36min 3s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 140m in 0.260986s (from [9997.69,10019.1,884.56] to [9901.88,9917.2,803.157]). TopSpeed of Steerable_Parachute_F is 300 speed was 1929.59. Player FPS: 57.3477. Alive for 754.626s -  [FPS: 18.3697|SERVERTHREADS: 33] (v0027A)
21-01-2016 11:14:48 infiSTAR.de | 2h 36min 3s | Mi Chen Lao(76561198024815424) | POTENTIAL-TP-REVERTED#1: Moved 184m in 0.255005s (from [9995.02,10017.7,883.299] to [9844.25,9912.39,794.93]). TopSpeed of Steerable_Parachute_F is 300 speed was 2596.24. Player FPS: 54.0541. Alive for 754.883s -  [FPS: 18.3486|SERVERTHREADS: 33] (v0027A)
