13-01-2016 11:52:15 infiSTAR.de | Syntax(76561198052079567) | Spawning APERS Bounding Mine (APERSBoundingMine_Range_Mag) on Syntax! (v0027A)
13-01-2016 11:56:24 infiSTAR.de | Syntax(76561198052079567) | Teleport to [17165.5,15116.8,0](GPS: 171253) (v0027A)
13-01-2016 12:01:25 infiSTAR.de | Syntax(76561198052079567) | Spawning M6 SLAM Mine (SLAMDirectionalMine_Wire_Mag) on Syntax! (v0027A)
13-01-2016 12:16:43 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
13-01-2016 12:16:44 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
13-01-2016 12:16:45 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
13-01-2016 12:16:45 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
13-01-2016 12:17:24 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3082.32,13365.2,0](GPS: 030236) (v0027A)
13-01-2016 12:27:44 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [2856.21,12852.7,0](GPS: 028230) (v0027A)
13-01-2016 12:31:57 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20219.3,12959,0](GPS: 202231) (v0027A)
13-01-2016 12:32:04 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
13-01-2016 12:36:06 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0027A)
13-01-2016 12:36:07 infiSTAR.de | Bayley(76561198037794465) | God Mode - 0 (v0027A)
13-01-2016 12:36:08 infiSTAR.de | Bayley(76561198037794465) | UnlimAmmo - 1 (v0027A)
13-01-2016 12:36:09 infiSTAR.de | Bayley(76561198037794465) | noRecoil - 1 (v0027A)
13-01-2016 12:36:10 infiSTAR.de | Bayley(76561198037794465) | FastFire - 1 (v0027A)
13-01-2016 12:36:12 infiSTAR.de | Bayley(76561198037794465) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
13-01-2016 12:36:13 infiSTAR.de | Bayley(76561198037794465) | infiSTAR Player ESP - 1 (v0027A)
13-01-2016 12:36:14 infiSTAR.de | Bayley(76561198037794465) | infiSTAR AI ESP - 1 (v0027A)
13-01-2016 12:36:25 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - HardCharger [GUER](76561198008333668) (v0027A)
13-01-2016 12:37:29 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19598.7,19227.3,0](GPS: 195294) (v0027A)
13-01-2016 12:38:00 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - HardCharger [GUER](76561198008333668) (v0027A)
13-01-2016 12:38:47 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
13-01-2016 12:39:44 infiSTAR.de | Bayley(76561198037794465) | Teleport to [6264.75,5646.73,0](GPS: 062158) (v0027A)
13-01-2016 12:40:31 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0027A)
13-01-2016 12:40:32 infiSTAR.de | Bayley(76561198037794465) | Vehicle God Mode - 1 (v0027A)
13-01-2016 12:41:37 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - HardCharger [GUER](76561198008333668) (v0027A)
13-01-2016 12:41:46 infiSTAR.de | Bayley(76561198037794465) | Support-Box1 created for Bayley(76561198037794465)! (v0027A)
13-01-2016 12:41:49 infiSTAR.de | Bayley(76561198037794465) | Support-Box1 created for Bayley(76561198037794465)! (v0027A)
13-01-2016 12:42:07 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:08 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:08 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:09 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:09 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:09 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:10 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:17 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:17 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:17 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:18 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:18 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
13-01-2016 12:42:18 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
