28-01-2016 11:24:06 infiSTAR.de | 1h 1min 27s | koth(76561198024580420) | WALL LOOK CHECK (looked through Exile_Construction_WoodWindow_Static) - @143128 [14355.9,2570.32,-0.0337682] [FPS: 11.4613|SERVERTHREADS: 37] (v0029)
28-01-2016 11:24:14 infiSTAR.de | 1h 1min 36s | koth(76561198024580420) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @143128 [14355.9,2570.32,-0.0337682] [FPS: 11.5025|SERVERTHREADS: 37] (v0029)
28-01-2016 11:25:27 infiSTAR.de | 1h 2min 47s | koth(76561198024580420) | WALL GLITCH CHECK (GetOut vehicle) - @143128 [14355.6,2569.44,1.45799] [FPS: 11.5025|SERVERTHREADS: 37] (v0029)
28-01-2016 11:25:54 infiSTAR.de | 1h 3min 15s | koth(76561198024580420) | WALL LOOK CHECK (looked through Exile_Construction_WoodStairs_Static) - @143128 [14376.3,2571.51,-0.754936] [FPS: 11.6874|SERVERTHREADS: 37] (v0029)
28-01-2016 11:26:08 infiSTAR.de | 1h 3min 28s | koth(76561198024580420) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Reinforced_Static) - @143128 [14365.2,2566.17,5.17303] [FPS: 7.63723|SERVERTHREADS: 37] (v0029)
28-01-2016 11:26:15 infiSTAR.de | 1h 3min 35s | koth(76561198024580420) | WALL LOOK CHECK (looked through Exile_Construction_WoodDoor_Reinforced_Static) - @143128 [14365.2,2566.17,5.17303] [FPS: 12.8411|SERVERTHREADS: 37] (v0029)
28-01-2016 11:26:36 infiSTAR.de | 1h 3min 56s | koth(76561198024580420) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Reinforced_Static) - @143128 [14359.1,2574.26,5.50732] [FPS: 10.9514|SERVERTHREADS: 37] (v0029)
28-01-2016 11:26:38 infiSTAR.de | 1h 3min 58s | koth(76561198024580420) | WALL LOOK CHECK (looked through Exile_Construction_WoodDoor_Reinforced_Static) - @143128 [14359.1,2574.26,5.50732] [FPS: 10.8548|SERVERTHREADS: 37] (v0029)
28-01-2016 11:27:09 infiSTAR.de | 1h 4min 28s | koth(76561198024580420) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @143128 [14355.9,2570.32,-0.0337682] [FPS: 10.5125|SERVERTHREADS: 37] (v0029)
28-01-2016 11:37:26 infiSTAR.de | 1h 14min 34s | Herold(76561197991489360) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @038198 [3843.35,9649.13,-0.128069] [FPS: 11.6874|SERVERTHREADS: 37] (v0029)
