23-01-2016 00:28:19 infiSTAR.de | Double A.(76561198069335401) | Vehicle God Mode - 1 (v0028)
23-01-2016 00:28:24 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on Gage Smith(76561198180386834) (v0028)
23-01-2016 00:28:28 infiSTAR.de | Falcon911(76561197974470549) | Add / Remove Money - Gage Smith [GUER](76561198180386834) (v0028)
23-01-2016 00:28:32 infiSTAR.de | Double A.(76561198069335401) | spawning A-10C Thunderbolt II (CAS) (CUP_B_A10_CAS_USA) (v0028)
23-01-2016 00:29:33 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1225.97,1156.04,0](GPS: 012113) (v0028)
23-01-2016 00:32:30 infiSTAR.de | Double A.(76561198069335401) | UnlimAmmo - 1 (v0028)
23-01-2016 00:32:38 infiSTAR.de | Falcon911(76561197974470549) | Deleting Double A.(76561198069335401) vehicle: CUP_B_A10_CAS_USA @011118.. (v0028)
23-01-2016 00:34:33 infiSTAR.de | Falcon911(76561197974470549) | Self Disconnect (v0028)
23-01-2016 00:34:53 infiSTAR.de | Double A.(76561198069335401) | infiSTAR AI ESP - 1 (v0028)
23-01-2016 00:35:27 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 1 (v0028)
23-01-2016 00:47:35 infiSTAR.de | Double A.(76561198069335401) | Teleport to [1072.7,1205.77,572.768](GPS: 010114) (v0028)
23-01-2016 00:48:15 infiSTAR.de | Double A.(76561198069335401) | Teleport to [640.529,1210.87,0](GPS: 006114) (v0028)
23-01-2016 00:48:30 infiSTAR.de | Double A.(76561198069335401) | Teleport to [5548.86,5576.93,0](GPS: 055158) (v0028)
23-01-2016 00:48:43 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0028)
23-01-2016 00:48:43 infiSTAR.de | Double A.(76561198069335401) | Teleported HardCharger(76561198008333668) from [2483.76,3481.67,93.833](024137) to [2483.76,3481.67,93.833](024137)  (0m) (v0028)
23-01-2016 00:48:59 infiSTAR.de | Double A.(76561198069335401) | HealRepairNear (v0028)
23-01-2016 00:49:25 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0028)
23-01-2016 00:50:12 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - () (v0028)
23-01-2016 00:50:18 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0028)
23-01-2016 00:50:18 infiSTAR.de | Double A.(76561198069335401) | Teleported HardCharger(76561198008333668) from [3128.39,3157.81,0.00156307](031133) to [3128.39,3157.81,0.00156307](031133)  (0m) (v0028)
23-01-2016 00:50:38 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Dead ESP - 1 (v0028)
23-01-2016 00:51:00 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0028)
23-01-2016 00:51:01 infiSTAR.de | Double A.(76561198069335401) | Teleported HardCharger(76561198008333668) from [5534.67,5651.5,0.0017271](055158) to [5534.67,5651.5,0.0017271](055158)  (0m) (v0028)
23-01-2016 00:51:09 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0028)
23-01-2016 00:51:10 infiSTAR.de | Double A.(76561198069335401) | Teleported HardCharger(76561198008333668) from [5515.65,5678.76,0.00205755](055159) to [5515.65,5678.76,0.00205755](055159)  (0m) (v0028)
23-01-2016 00:51:34 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - HardCharger [GUER](76561198008333668) (v0028)
23-01-2016 00:52:19 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0028)
23-01-2016 00:52:21 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 1 (v0028)
23-01-2016 00:52:49 infiSTAR.de | Double A.(76561198069335401) | Teleport to [6223.87,5643.4,0](GPS: 062158) (v0028)
23-01-2016 00:52:56 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0028)
