24-01-2016 17:49:43 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 1 (v0029)
24-01-2016 17:49:44 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 0 (v0029)
24-01-2016 17:49:45 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0029)
24-01-2016 17:49:47 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0029)
24-01-2016 17:49:47 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
24-01-2016 17:49:52 infiSTAR.de | Double A.(76561198069335401) | Vehicle Marker - 1 (v0029)
24-01-2016 17:51:17 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 1 (v0029)
24-01-2016 17:51:23 infiSTAR.de | Double A.(76561198069335401) | Teleport to [15774,7753.44,0](GPS: 157179) (v0029)
24-01-2016 17:51:33 infiSTAR.de | Double A.(76561198069335401) | Teleport In Facing Direction (10m steps) - 1 (v0029)
24-01-2016 17:53:29 infiSTAR.de | Double A.(76561198069335401) | Teleport to [9219.85,13702,0](GPS: 092239) (v0029)
24-01-2016 18:00:03 infiSTAR.de | Double A.(76561198069335401) | Teleport - Me To Target - AlphaVirus [GUER](76561198082373256) (v0029)
24-01-2016 18:01:12 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0029)
24-01-2016 18:02:35 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - AlphaVirus [GUER](76561198082373256) (v0029)
24-01-2016 18:04:41 infiSTAR.de | Double A.(76561198069335401) | Teleport to [16178.6,19656.3,0](GPS: 161298) (v0029)
24-01-2016 18:04:57 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
24-01-2016 18:05:43 infiSTAR.de | Double A.(76561198069335401) | Teleport - Me To Target - OMEGA™ [GUER (R Fortune Hunters)](76561197974809837) (v0029)
24-01-2016 18:06:09 infiSTAR.de | Double A.(76561198069335401) | Teleport to [16172.3,19653.6,0](GPS: 161298) (v0029)
24-01-2016 18:07:21 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19642.9,12726.3,0](GPS: 196229) (v0029)
24-01-2016 18:07:55 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_UH60M_Unarmed_US @196229.. (v0029)
24-01-2016 18:08:20 infiSTAR.de | Double A.(76561198069335401) | spawning UH-60M (CUP_B_UH60M_US) (v0029)
24-01-2016 18:09:36 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:10:25 infiSTAR.de | Double A.(76561198069335401) | Spawning Carryall Backpack (Coyote) (B_Carryall_cbr) on the ground infront of Double A.! (v0029)
24-01-2016 18:13:01 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:21:17 infiSTAR.de | Double A.(76561198069335401) | Support-Box2 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:21:22 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Container_Storagecrate @196229.. (v0029)
24-01-2016 18:21:29 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:21:29 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:21:41 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0029)
24-01-2016 18:21:42 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
24-01-2016 18:21:43 infiSTAR.de | Double A.(76561198069335401) | Teleport In Facing Direction (10m steps) - 1 (v0029)
24-01-2016 18:21:45 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 1 (v0029)
24-01-2016 18:21:47 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0029)
24-01-2016 18:22:44 infiSTAR.de | Double A.(76561198069335401) | Teleport - Me To Target - AlphaVirus [GUER](76561198082373256) (v0029)
24-01-2016 18:23:59 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19653.4,12715.3,0](GPS: 196229) (v0029)
24-01-2016 18:24:07 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:25:42 infiSTAR.de | Double A.(76561198069335401) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of Double A.! (v0029)
24-01-2016 18:25:44 infiSTAR.de | Double A.(76561198069335401) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of Double A.! (v0029)
24-01-2016 18:25:45 infiSTAR.de | Double A.(76561198069335401) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of Double A.! (v0029)
24-01-2016 18:26:11 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - JoshC [GUER (R Fortune Hunters)](76561198017061088) (v0029)
24-01-2016 18:26:11 infiSTAR.de | Double A.(76561198069335401) | Teleported JoshC(76561198017061088) from [19605.7,19270,0.00143886](196295) to [19605.7,19270,0.00143886](196295)  (0m) (v0029)
24-01-2016 18:26:14 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - Mystic [GUER (R Fortune Hunters)](76561197999003538) (v0029)
24-01-2016 18:26:15 infiSTAR.de | Double A.(76561198069335401) | Teleported Mystic(76561197999003538) from [1704.24,8333.99,2.59687](017185) to [1704.24,8333.99,2.59687](017185)  (0m) (v0029)
24-01-2016 18:26:24 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - Mystic [GUER (R Fortune Hunters)](76561197999003538) (v0029)
24-01-2016 18:26:24 infiSTAR.de | Double A.(76561198069335401) | Teleported Mystic(76561197999003538) from [1707.45,8330.45,1.39403](017185) to [1707.45,8330.45,1.39403](017185)  (0m) (v0029)
24-01-2016 18:26:35 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0029)
24-01-2016 18:26:35 infiSTAR.de | Double A.(76561198069335401) | God Mode - 0 (v0029)
24-01-2016 18:29:17 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - OMEGA™ [GUER (R Fortune Hunters)](76561197974809837) (v0029)
24-01-2016 18:29:17 infiSTAR.de | Double A.(76561198069335401) | Teleported OMEGA™(76561197974809837) from [18006.5,13933,0.00106812](180241) to [18006.5,13933,0.00106812](180241)  (0m) (v0029)
24-01-2016 18:30:09 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Container_Storagecrate @196229.. (v0029)
24-01-2016 18:30:11 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Container_Storagecrate @196229.. (v0029)
24-01-2016 18:30:20 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Container_Storagecrate @196229.. (v0029)
24-01-2016 18:30:42 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:30:46 infiSTAR.de | Double A.(76561198069335401) | Support-Box1 created for Double A.(76561198069335401)! (v0029)
24-01-2016 18:32:22 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Container_Storagecrate @196229.. (v0029)
