29-01-2016 00:36:19 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - JDazzle [GUER (R Fortune Hunters)](76561198150587250) (v0029)
29-01-2016 00:36:19 infiSTAR.de | Double A.(76561198069335401) | Teleported JDazzle(76561198150587250) from [18364.2,12892,0.905304](183231) to [18364.2,12892,0.905304](183231)  (0m) (v0029)
29-01-2016 00:36:23 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - Solo [GUER (R Fortune Hunters)](76561198068561099) (v0029)
29-01-2016 00:36:23 infiSTAR.de | Double A.(76561198069335401) | Teleported Solo(76561198068561099) from [19596.7,19249.3,0.00143886](195294) to [19596.7,19249.3,0.00143886](195294)  (0m) (v0029)
29-01-2016 00:49:45 infiSTAR.de | Double A.(76561198069335401) | UnRestrain - R Alpha 2-1:1 (Double A.)(76561198069335401) (v0029)
29-01-2016 00:50:22 infiSTAR.de | Double A.(76561198069335401) | Spawning AK-74M (CUP_arifle_AK74M) on the ground infront of Double A.! (v0029)
29-01-2016 00:52:10 infiSTAR.de | Double A.(76561198069335401) | Spawning M4A3 (CUP_arifle_M4A3_desert) on Double A.! (v0029)
29-01-2016 00:52:53 infiSTAR.de | Double A.(76561198069335401) | Spawning MG36 (CUP_arifle_MG36) on Double A.! (v0029)
29-01-2016 00:52:57 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 00:53:00 infiSTAR.de | Double A.(76561198069335401) | Spawning Beta-c Mag. (red) (CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag) on Double A.! (v0029)
29-01-2016 00:55:01 infiSTAR.de | Double A.(76561198069335401) | Spawning KSVK (CUP_srifle_ksvk) on Double A.! (v0029)
29-01-2016 00:55:07 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 00:55:08 infiSTAR.de | Double A.(76561198069335401) | Spawning 5RND. KSVK (CUP_5Rnd_127x108_KSVK_M) on Double A.! (v0029)
29-01-2016 00:55:47 infiSTAR.de | Double A.(76561198069335401) | spawning Hunter (Exile_Car_Hunter) (v0029)
29-01-2016 01:00:08 infiSTAR.de | Double A.(76561198069335401) | Spawning AS50 (CUP_srifle_AS50_AMPAS13c2) on Double A.! (v0029)
29-01-2016 01:00:12 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:00:14 infiSTAR.de | Double A.(76561198069335401) | Spawning 5Rnd. 12.7x99 mm NATO (CUP_5Rnd_127x99_as50_M) on Double A.! (v0029)
29-01-2016 01:00:37 infiSTAR.de | Double A.(76561198069335401) | HealSelf (v0029)
29-01-2016 01:03:34 infiSTAR.de | Double A.(76561198069335401) | FastFire - 1 (v0029)
29-01-2016 01:03:34 infiSTAR.de | Double A.(76561198069335401) | noRecoil - 1 (v0029)
29-01-2016 01:04:08 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:04:12 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 01:04:35 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:04:37 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 01:07:29 infiSTAR.de | Double A.(76561198069335401) | Spawning G17 (CUP_hgun_glock17_flashlight_snds) on Double A.! (v0029)
29-01-2016 01:07:40 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:07:42 infiSTAR.de | Double A.(76561198069335401) | Spawning G17 Mag. (CUP_17Rnd_9x19_glock17) on Double A.! (v0029)
29-01-2016 01:07:42 infiSTAR.de | Double A.(76561198069335401) | Spawning G17 Mag. (CUP_17Rnd_9x19_glock17) on Double A.! (v0029)
29-01-2016 01:08:52 infiSTAR.de | Double A.(76561198069335401) | Heal - R Fortune Hunters:6 (Katana) REMOTE(76561197982462238) (v0029)
29-01-2016 01:09:10 infiSTAR.de | Double A.(76561198069335401) | Heal - R Fortune Hunters:3 (JDazzle) REMOTE(76561198150587250) (v0029)
29-01-2016 01:10:02 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:03 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:04 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:05 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:05 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:06 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:07 infiSTAR.de | Double A.(76561198069335401) | Spawning SA58 Mag. (CUP_30Rnd_Sa58_M) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:09 infiSTAR.de | Double A.(76561198069335401) | Spawning Sa-58V (CUP_arifle_Sa58V_Aim_Laser) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:16 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @196229.. (v0029)
29-01-2016 01:10:28 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:29 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:30 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:31 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:31 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:32 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:33 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:10:34 infiSTAR.de | Double A.(76561198069335401) | Spawning .338 LM 10Rnd Mag (10Rnd_338_Mag) on the ground infront of Double A.! (v0029)
29-01-2016 01:12:32 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - jim [GUER (R Red Sun)](76561198127460107) (v0029)
