17-01-2016 12:27:53 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 12:27:54 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
17-01-2016 12:28:56 infiSTAR.de | De Gone(76561198057838365) | Mass Message: All units this net be advised. Reserved slots are now available! See forums for further details. (v0027A)
17-01-2016 12:29:06 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 12:29:07 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
17-01-2016 12:29:27 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
17-01-2016 12:29:28 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
17-01-2016 12:29:29 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
17-01-2016 12:29:30 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
17-01-2016 12:30:01 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13779.7,1455.12,0](GPS: 137116) (v0027A)
17-01-2016 12:30:23 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 12:30:23 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 12:30:34 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13772,1454.14,0](GPS: 137116) (v0027A)
17-01-2016 12:30:40 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13734.4,1792.42,0](GPS: 137120) (v0027A)
17-01-2016 12:30:48 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14173.1,1403,0](GPS: 141116) (v0027A)
17-01-2016 12:30:48 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13781.2,1451.61,0](GPS: 137116) (v0027A)
17-01-2016 12:30:50 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13774.1,1451.61,0](GPS: 137116) (v0027A)
17-01-2016 12:31:10 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
17-01-2016 12:31:39 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 1 (v0027A)
17-01-2016 12:31:40 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 12:31:41 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
17-01-2016 12:31:42 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0027A)
17-01-2016 12:31:44 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13767.6,1441.29,0](GPS: 137116) (v0027A)
17-01-2016 12:32:00 infiSTAR.de | De Gone(76561198057838365) | Deleting WeaponHolderSimulated @137116.. (v0027A)
17-01-2016 12:32:02 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Unit_Player @137116.. (v0027A)
17-01-2016 12:33:10 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
17-01-2016 12:34:07 infiSTAR.de | King Heavy(76561197991198861) | Spawning Izhmash AKS74 (hlc_rifle_aks74) on the ground infront of King Heavy! (v0027A)
17-01-2016 12:34:25 infiSTAR.de | King Heavy(76561197991198861) | Deleting GroundWeaponHolder @137116.. (v0027A)
17-01-2016 12:35:53 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
17-01-2016 12:35:57 infiSTAR.de | De Gone(76561198057838365) | Teleport to [6241.7,7664.63,0](GPS: 062179) (v0027A)
17-01-2016 12:36:06 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
17-01-2016 12:36:09 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6205.48,7659.97,0](GPS: 062178) (v0027A)
17-01-2016 12:36:22 infiSTAR.de | De Gone(76561198057838365) | Teleport to [6480.9,7334.42,0](GPS: 064175) (v0027A)
17-01-2016 12:36:37 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 0 (v0027A)
17-01-2016 12:36:37 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 12:36:38 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
17-01-2016 12:36:47 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0027A)
17-01-2016 12:37:05 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6237.7,7419.55,0](GPS: 062176) (v0027A)
17-01-2016 12:37:18 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6059.25,7387.69,0](GPS: 060176) (v0027A)
17-01-2016 12:37:23 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6236.9,7415.57,0](GPS: 062176) (v0027A)
17-01-2016 12:37:45 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6247.73,7435.12,0](GPS: 062176) (v0027A)
17-01-2016 12:40:05 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14232.3,8587.62,0](GPS: 142188) (v0027A)
17-01-2016 12:40:22 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14470.5,8931.71,0](GPS: 144191) (v0027A)
17-01-2016 12:41:21 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6257.68,7384.14,0](GPS: 062176) (v0027A)
17-01-2016 12:43:26 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6552.11,6742.88,0](GPS: 065169) (v0027A)
17-01-2016 12:46:11 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7430.26,5963.05,0](GPS: 074162) (v0027A)
17-01-2016 12:46:21 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7400.8,5954.71,0](GPS: 074161) (v0027A)
17-01-2016 12:51:43 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6503.2,6414.96,0](GPS: 065166) (v0027A)
17-01-2016 12:53:12 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7401.72,5954.77,0](GPS: 074161) (v0027A)
17-01-2016 12:53:20 infiSTAR.de | De Gone(76561198057838365) | Teleport to [7703.52,6281.76,0](GPS: 077165) (v0027A)
17-01-2016 12:54:00 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13054.1,5300.65,0](GPS: 130155) (v0027A)
17-01-2016 12:54:06 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13032.5,5304.44,0](GPS: 130155) (v0027A)
17-01-2016 12:54:30 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5629.11,16444.5,0](GPS: 056266) (v0027A)
17-01-2016 12:54:48 infiSTAR.de | De Gone(76561198057838365) | Teleport to [5628.96,16495.9,0](GPS: 056267) (v0027A)
17-01-2016 12:55:21 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 12:55:22 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 12:55:23 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0027A)
17-01-2016 12:55:26 infiSTAR.de | De Gone(76561198057838365) | Teleport to [5636.61,16494,0](GPS: 056267) (v0027A)
17-01-2016 12:55:43 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 12:55:44 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
17-01-2016 12:55:45 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 1 (v0027A)
17-01-2016 12:55:49 infiSTAR.de | King Heavy(76561197991198861) | Deleting Exile_Unit_Player @056267.. (v0027A)
