27-01-2016 14:47:19 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:47:26 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17793,2210.17,0](GPS: 177124) (v0029)
27-01-2016 14:47:37 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17785.1,2211.1,0](GPS: 177124) (v0029)
27-01-2016 14:47:40 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17775.3,2198.76,0](GPS: 177124) (v0029)
27-01-2016 14:47:41 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17773.2,2188.98,0](GPS: 177124) (v0029)
27-01-2016 14:47:44 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17795.9,2184.79,0](GPS: 177124) (v0029)
27-01-2016 14:47:49 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17771.3,2188.17,0](GPS: 177124) (v0029)
27-01-2016 14:47:56 infiSTAR.de | J. Thomas(76561198087140410) | unlocked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:47:59 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:48:09 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17777.6,1886.05,0](GPS: 177121) (v0029)
27-01-2016 14:54:11 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17819.5,2536.17,0](GPS: 178127) (v0029)
27-01-2016 14:54:39 infiSTAR.de | J. Thomas(76561198087140410) | Move In Target Vehicle - Ghost [GUER (R Lannon is so gaaaay)](76561198067400347) (v0029)
27-01-2016 14:54:58 infiSTAR.de | J. Thomas(76561198087140410) | Flip Vehicle - R Lannon is so gaaaay:4 (Ghost) REMOTE(76561198067400347) (v0029)
27-01-2016 14:55:07 infiSTAR.de | J. Thomas(76561198087140410) | Flip Vehicle - R Charlie 1-2:1 (J. Thomas)(76561198087140410) (v0029)
27-01-2016 14:56:12 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17704.3,3345.03,0](GPS: 177135) (v0029)
27-01-2016 14:56:49 infiSTAR.de | J. Thomas(76561198087140410) | HealRepairNear (v0029)
27-01-2016 14:57:26 infiSTAR.de | J. Thomas(76561198087140410) | HealRepairNear (v0029)
27-01-2016 14:57:26 infiSTAR.de | J. Thomas(76561198087140410) | HealRepairNear (v0029)
27-01-2016 14:57:26 infiSTAR.de | J. Thomas(76561198087140410) | HealRepairNear (v0029)
27-01-2016 14:57:26 infiSTAR.de | J. Thomas(76561198087140410) | HealRepairNear (v0029)
27-01-2016 14:57:37 infiSTAR.de | J. Thomas(76561198087140410) | Vehicle God Mode - 0 (v0029)
27-01-2016 14:57:39 infiSTAR.de | J. Thomas(76561198087140410) | Vehicle God Mode - 1 (v0029)
27-01-2016 14:57:49 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 1 (v0029)
27-01-2016 14:58:03 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 0 (v0029)
27-01-2016 14:59:03 infiSTAR.de | J. Thomas(76561198087140410) | Deleting CUP_B_HMMWV_DSHKM_GPK_ACR @177135.. (v0029)
27-01-2016 14:59:21 infiSTAR.de | J. Thomas(76561198087140410) | spawning HMMWV M1114 DSHKM (CUP_B_HMMWV_DSHKM_GPK_ACR) (v0029)
27-01-2016 14:59:46 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_HMMWV_DSHKM_GPK_ACR] (v0029)
27-01-2016 15:00:25 infiSTAR.de | J. Thomas(76561198087140410) | spawning Rubber Duck (Orange) (Exile_Boat_RubberDuck_Orange) (v0029)
27-01-2016 15:00:54 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 1 (v0029)
27-01-2016 15:01:33 infiSTAR.de | J. Thomas(76561198087140410) | Deleting Exile_Boat_RubberDuck_Orange @172167.. (v0029)
27-01-2016 15:01:38 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17696.4,3320.56,0](GPS: 176135) (v0029)
27-01-2016 15:02:01 infiSTAR.de | J. Thomas(76561198087140410) | spawning Ural (ZU-23) (CUP_O_Ural_ZU23_RU) (v0029)
27-01-2016 15:02:06 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_O_Ural_ZU23_RU] (v0029)
27-01-2016 15:02:43 infiSTAR.de | J. Thomas(76561198087140410) | Freeze Target - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:02:49 infiSTAR.de | J. Thomas(76561198087140410) | Teleport - Target To Me - Headshots  [GUER](76561198068289337) (v0029)
27-01-2016 15:02:49 infiSTAR.de | J. Thomas(76561198087140410) | Teleported Headshots (76561198068289337) from [17028.1,3705.25,0.00363064](170139) to [17028.1,3705.25,0.00363064](170139)  (0m) (v0029)
27-01-2016 15:03:01 infiSTAR.de | J. Thomas(76561198087140410) | Eject Crew - Headshots  [GUER](76561198068289337) (v0029)
27-01-2016 15:03:07 infiSTAR.de | J. Thomas(76561198087140410) | UnFreeze Target - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:03:08 infiSTAR.de | J. Thomas(76561198087140410) | Restrain - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:03:20 infiSTAR.de | J. Thomas(76561198087140410) | Freeze Target - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:03:23 infiSTAR.de | J. Thomas(76561198087140410) | Teleport - Target To Me - Headshots  [GUER](76561198068289337) (v0029)
27-01-2016 15:03:23 infiSTAR.de | J. Thomas(76561198087140410) | Teleported Headshots (76561198068289337) from [17684.1,3356.32,0.0141263](176135) to [17684.1,3356.32,0.0141263](176135)  (0m) (v0029)
27-01-2016 15:03:27 infiSTAR.de | J. Thomas(76561198087140410) | Eject - Headshots  [GUER](76561198068289337) (v0029)
27-01-2016 15:03:30 infiSTAR.de | J. Thomas(76561198087140410) | Restrain - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:03:51 infiSTAR.de | J. Thomas(76561198087140410) | UnRestrain - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:03:55 infiSTAR.de | J. Thomas(76561198087140410) | Restrain - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:03:56 infiSTAR.de | J. Thomas(76561198087140410) | UnFreeze Target - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:07:10 infiSTAR.de | J. Thomas(76561198087140410) | UnRestrain - R Foxtrot 1-1:1 (Headshots ) REMOTE(76561198068289337) (v0029)
27-01-2016 15:07:37 infiSTAR.de | J. Thomas(76561198087140410) | Deleting CUP_O_Ural_ZU23_RU @177135.. (v0029)
27-01-2016 15:07:42 infiSTAR.de | J. Thomas(76561198087140410) | Stealth / Invisible - 1 (v0029)
27-01-2016 15:24:23 infiSTAR.de | J. Thomas(76561198087140410) | Self Disconnect (v0029)
27-01-2016 20:20:37 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 20:20:38 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
27-01-2016 20:20:39 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
27-01-2016 20:20:40 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 20:21:01 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13154.5,20012.4,0](GPS: 131302) (v0029)
27-01-2016 20:21:27 infiSTAR.de | De Gone(76561198057838365) | Teleport to [4427.73,19857.5,0](GPS: 044300) (v0029)
27-01-2016 20:22:15 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9219.31,15670.4,0](GPS: 092259) (v0029)
27-01-2016 20:22:41 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10684.6,16466.3,0](GPS: 106267) (v0029)
