15-01-2016 22:40:55 infiSTAR.de | 2h 6min 1s | Devin(76561198074065744) | WALL LOOK CHECK (looked through Exile_Construction_WoodDoor_Static) - @153135 [15378.4,3311.7,4.02858] [FPS: 8.95355|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:40:58 infiSTAR.de | 2h 6min 4s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @153135 [15378.4,3311.7,4.02858] [FPS: 8.59753|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:41:08 infiSTAR.de | 2h 6min 13s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @153135 [15378.4,3311.7,4.02858] [FPS: 8.41662|SERVERTHREADS: 34] (v0027C)
15-01-2016 22:41:19 infiSTAR.de | 2h 6min 23s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @153135 [15382,3309.47,0.796826] [FPS: 9.09091|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:41:31 infiSTAR.de | 2h 6min 34s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @153135 [15376.5,3307.92,0.61172] [FPS: 10.3964|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:48:10 infiSTAR.de | 2h 12min 38s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @160149 [16016.9,4720.42,0.0693097] [FPS: 9.29692|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:48:38 infiSTAR.de | 2h 13min 2s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @160149 [16030,4719.66,0.13224] [FPS: 10.0188|SERVERTHREADS: 34] (v0027C)
15-01-2016 23:16:48 infiSTAR.de | 0h 2min 45s | Glen(76561198035855483) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @096115 [9628.56,1333.77,0.081965] [FPS: 50|SERVERTHREADS: 31] (v0027A)
15-01-2016 23:38:57 infiSTAR.de | 0h 24min 43s | Glen(76561198035855483) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @096115 [9629.88,1327.92,1.39733] [FPS: 9.94407|SERVERTHREADS: 34] (v0027A)
15-01-2016 23:53:36 infiSTAR.de | 0h 38min 53s | Glen(76561198035855483) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @096115 [9629.88,1327.92,1.39733] [FPS: 15.6098|SERVERTHREADS: 35] (v0027A)
