28-01-2016 00:45:22 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
28-01-2016 00:45:27 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
28-01-2016 00:45:29 infiSTAR.de | Double A.(76561198069335401) | Spawning M136 (CUP_M136_M) on Double A.! (v0029)
28-01-2016 00:46:09 infiSTAR.de | De Gone(76561198057838365) | UnRestrain - R Bravo 4-2:1 (De Gone)(76561198057838365) (v0029)
28-01-2016 00:46:53 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on MAFI Moose(76561198059780700) (v0029)
28-01-2016 00:49:06 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
28-01-2016 00:49:08 infiSTAR.de | De Gone(76561198057838365) | UnRestrain - R MAFI <3:4 (MAFI SargeantWagger) REMOTE(76561198021884977) (v0029)
28-01-2016 00:49:11 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Double A.! (v0029)
28-01-2016 00:49:50 infiSTAR.de | De Gone(76561198057838365) | spawning M1A2 Abrams TUSK (Woodland) (CUP_B_M1A2_TUSK_MG_USMC) (v0029)
28-01-2016 00:50:07 infiSTAR.de | De Gone(76561198057838365) | FastFire - 1 (v0029)
28-01-2016 00:50:50 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_M1A2_TUSK_MG_USMC @128180.. (v0029)
28-01-2016 00:51:26 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - MAFI ploopet [GUER (R MAFI <3)](76561198042224948) (v0029)
28-01-2016 00:51:26 infiSTAR.de | Double A.(76561198069335401) | Teleported MAFI ploopet(76561198042224948) from [14260.1,6479.73,26.3538](142167) to [14260.1,6479.73,26.3538](142167)  (0m) (v0029)
28-01-2016 00:51:28 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:29 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:31 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:32 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:32 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:33 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:33 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:34 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:34 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:34 infiSTAR.de | De Gone(76561198057838365) | HealRepairNear (v0029)
28-01-2016 00:51:35 infiSTAR.de | Double A.(76561198069335401) | HealSelf (v0029)
28-01-2016 00:53:22 infiSTAR.de | Double A.(76561198069335401) | spawning Mk32 GMG 20 mm (B_GMG_01_F) (v0029)
28-01-2016 00:53:27 infiSTAR.de | De Gone(76561198057838365) | UnlimAmmo - 0 (v0029)
28-01-2016 00:53:28 infiSTAR.de | De Gone(76561198057838365) | noRecoil - 0 (v0029)
28-01-2016 00:53:28 infiSTAR.de | De Gone(76561198057838365) | FastFire - 0 (v0029)
28-01-2016 00:53:50 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on MAFI SargeantWagger(76561198021884977) (v0029)
28-01-2016 00:53:54 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - MAFI SargeantWagger [GUER (R MAFI <3)](76561198021884977) (v0029)
28-01-2016 00:53:54 infiSTAR.de | De Gone(76561198057838365) | Teleported MAFI SargeantWagger(76561198021884977) from [14588.3,6551.49,0.00128937](145167) to [14588.3,6551.49,0.00128937](145167)  (0m) (v0029)
28-01-2016 00:54:05 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - (76561198021884977) (v0029)
28-01-2016 00:54:06 infiSTAR.de | De Gone(76561198057838365) | Teleported MAFI SargeantWagger(76561198021884977) from [14578.8,6560.04,0.00145721](145168) to [14578.8,6560.04,0.00145721](145168)  (0m) (v0029)
28-01-2016 00:55:24 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @128180.. (v0029)
28-01-2016 00:55:25 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @128180.. (v0029)
28-01-2016 00:58:13 infiSTAR.de | Double A.(76561198069335401) | spawning AH-9 Pawnee (B_Heli_Light_01_armed_F) (v0029)
28-01-2016 01:08:11 infiSTAR.de | Double A.(76561198069335401) | Deleting MAFI Beazy(76561198040732518) vehicle: B_Heli_Light_01_armed_F @129183.. (v0029)
28-01-2016 01:10:43 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - MAFI ploopet [GUER (R MAFI <3)](76561198042224948) (v0029)
28-01-2016 01:10:43 infiSTAR.de | Double A.(76561198069335401) | Teleported MAFI ploopet(76561198042224948) from [15399.5,5896.49,520.859](153161) to [15399.5,5896.49,520.859](153161)  (0m) (v0029)
28-01-2016 01:11:40 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - MAFI Beazy [GUER (R MAFI <3)](76561198040732518) (v0029)
28-01-2016 01:11:40 infiSTAR.de | Double A.(76561198069335401) | Teleported MAFI Beazy(76561198040732518) from [14250.9,6573.49,0.00145721](142168) to [14250.9,6573.49,0.00145721](142168)  (0m) (v0029)
28-01-2016 01:11:58 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - MAFI Beazy [GUER (R MAFI <3)](76561198040732518) (v0029)
28-01-2016 01:12:09 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - MAFI Moose [GUER (R MAFI <3)](76561198059780700) (v0029)
28-01-2016 01:12:15 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - MAFI ploopet [GUER (R MAFI <3)](76561198042224948) (v0029)
28-01-2016 01:12:23 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - MAFI SargeantWagger [GUER (R MAFI <3)](76561198021884977) (v0029)
28-01-2016 13:51:46 infiSTAR.de | Optima(76561198052079567) | Teleport to [1017.12,1395.29,0](GPS: 010116) (v0029)
28-01-2016 13:51:56 infiSTAR.de | Optima(76561198052079567) | Teleport to [5260.24,20379.1,0](GPS: 052306) (v0029)
28-01-2016 13:52:11 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 13:52:19 infiSTAR.de | Optima(76561198052079567) | Teleport to [984.112,1219.87,0](GPS: 009114) (v0029)
28-01-2016 13:53:05 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 14:08:36 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 14:08:37 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 14:08:38 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0029)
28-01-2016 14:08:39 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
28-01-2016 14:08:40 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0029)
28-01-2016 14:08:41 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0029)
28-01-2016 14:08:55 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on James(76561197977469585) (v0029)
28-01-2016 14:10:54 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 14:10:55 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 14:10:57 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0029)
28-01-2016 14:10:57 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
28-01-2016 14:10:58 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0029)
28-01-2016 14:10:59 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0029)
28-01-2016 14:13:08 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 0 (v0029)
28-01-2016 14:13:09 infiSTAR.de | Optima(76561198052079567) | God Mode - 0 (v0029)
28-01-2016 14:16:13 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
28-01-2016 14:16:14 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0029)
28-01-2016 14:16:35 infiSTAR.de | Optima(76561198052079567) | Teleport to [13726.6,5731.59,0](GPS: 137159) (v0029)
28-01-2016 14:17:03 infiSTAR.de | Optima(76561198052079567) | Teleport to [13721,5703.1,0](GPS: 137159) (v0029)
28-01-2016 14:17:30 infiSTAR.de | Optima(76561198052079567) | Teleport to [8066.7,20387.7,0](GPS: 080306) (v0029)
28-01-2016 14:18:02 infiSTAR.de | Optima(76561198052079567) |  (v0029)
28-01-2016 14:18:08 infiSTAR.de | Optima(76561198052079567) |  (v0029)
28-01-2016 14:18:10 infiSTAR.de | Optima(76561198052079567) | Spawning Mk17 Mag. (CUP_20Rnd_762x51_B_SCAR) on Optima! (v0029)
28-01-2016 14:18:10 infiSTAR.de | Optima(76561198052079567) | Spawning Mk17 Mag. (CUP_20Rnd_762x51_B_SCAR) on Optima! (v0029)
28-01-2016 14:18:11 infiSTAR.de | Optima(76561198052079567) | Spawning Mk17 Mag. (CUP_20Rnd_762x51_B_SCAR) on Optima! (v0029)
28-01-2016 14:18:30 infiSTAR.de | Optima(76561198052079567) | Spawning 40 mm HE Grenade Round (1Rnd_HE_Grenade_shell) on Optima! (v0029)
28-01-2016 14:18:31 infiSTAR.de | Optima(76561198052079567) | Spawning 40 mm HE Grenade Round (1Rnd_HE_Grenade_shell) on Optima! (v0029)
28-01-2016 14:18:31 infiSTAR.de | Optima(76561198052079567) | Spawning 40 mm HE Grenade Round (1Rnd_HE_Grenade_shell) on Optima! (v0029)
28-01-2016 14:18:32 infiSTAR.de | Optima(76561198052079567) | Spawning 40 mm HE Grenade Round (1Rnd_HE_Grenade_shell) on Optima! (v0029)
28-01-2016 14:19:27 infiSTAR.de | Optima(76561198052079567) | Teleport to [14039.3,4194.69,0](GPS: 140144) (v0029)
28-01-2016 14:19:35 infiSTAR.de | Optima(76561198052079567) | Teleport to [9333.55,10280.3,0](GPS: 093205) (v0029)
28-01-2016 14:20:33 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS (CUP_launch_MAAWS_Scope) on Optima! (v0029)
28-01-2016 14:20:35 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEDP rocket (CUP_MAAWS_HEDP_M) on Optima! (v0029)
28-01-2016 14:20:35 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEDP rocket (CUP_MAAWS_HEDP_M) on Optima! (v0029)
28-01-2016 14:20:36 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEDP rocket (CUP_MAAWS_HEDP_M) on Optima! (v0029)
28-01-2016 14:20:36 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEDP rocket (CUP_MAAWS_HEDP_M) on Optima! (v0029)
28-01-2016 14:20:37 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEDP rocket (CUP_MAAWS_HEDP_M) on Optima! (v0029)
28-01-2016 14:21:08 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 0 (v0029)
28-01-2016 14:21:09 infiSTAR.de | Optima(76561198052079567) | God Mode - 0 (v0029)
28-01-2016 14:33:10 infiSTAR.de | Optima(76561198052079567) | Spawning AMS (Black) (optic_AMS) on Optima! (v0029)
28-01-2016 14:43:00 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Adofo Freeman(76561197962697173) (v0029)
28-01-2016 14:44:06 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Adofo Freeman(76561197962697173) (v0029)
28-01-2016 15:01:00 infiSTAR.de | Optima(76561198052079567) | Spawning APERS Bounding Mine (APERSBoundingMine_Range_Mag) on Optima! (v0029)
28-01-2016 15:01:00 infiSTAR.de | Optima(76561198052079567) | Spawning APERS Bounding Mine (APERSBoundingMine_Range_Mag) on Optima! (v0029)
28-01-2016 15:11:34 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Herold(76561197991489360) (v0029)
