22-01-2016 21:34:40 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - TheGreenBastard [GUER (R SRF_Rifleman_F)](76561198239583742) (v0027A)
22-01-2016 21:34:46 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027A)
22-01-2016 21:35:00 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Pryies(76561198077565044) (v0027A)
22-01-2016 21:35:03 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Pryies [GUER (R SRF_Rifleman_F)](76561198077565044) (v0027A)
22-01-2016 21:41:26 infiSTAR.de | Falcon911(76561197974470549) |  (v0027A)
22-01-2016 21:41:31 infiSTAR.de | Falcon911(76561197974470549) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Falcon911! (v0027A)
22-01-2016 21:41:57 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Starter Pistol (hgun_Pistol_Signal_F) on 7=Temp! (v0027A)
22-01-2016 21:42:07 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 6Rnd Signal Cylinder (Red) (6Rnd_RedSignal_F) on 7=Temp! (v0027A)
22-01-2016 21:42:08 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 6Rnd Signal Cylinder (Red) (6Rnd_RedSignal_F) on 7=Temp! (v0027A)
22-01-2016 21:42:09 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 6Rnd Signal Cylinder (Red) (6Rnd_RedSignal_F) on 7=Temp! (v0027A)
22-01-2016 21:42:21 infiSTAR.de | Falcon911(76561197974470549) | UnlimAmmo - 1 (v0027A)
22-01-2016 21:42:42 infiSTAR.de | Falcon911(76561197974470549) |  (v0027A)
22-01-2016 21:42:46 infiSTAR.de | Falcon911(76561197974470549) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Falcon911! (v0027A)
22-01-2016 21:44:59 infiSTAR.de | 7=Temp(76561198133523234) | noRecoil - 1 (v0027A)
22-01-2016 21:45:00 infiSTAR.de | 7=Temp(76561198133523234) | FastFire - 1 (v0027A)
22-01-2016 21:46:37 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: Come all.. on map green X.. King of the hill.... prize is 250K.  (v0027A)
