12-01-2016 00:31:25 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
12-01-2016 00:31:26 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
12-01-2016 00:34:16 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Triggy [GUER (R Entrex's Party)](76561198027595535) (v0027A)
12-01-2016 00:34:55 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
12-01-2016 00:34:56 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
12-01-2016 00:34:57 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
12-01-2016 00:34:58 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
12-01-2016 00:35:09 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20394.6,159.136,0](GPS: 203103) (v0027A)
12-01-2016 00:37:08 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20343.2,3686.5,0](GPS: 203139) (v0027A)
12-01-2016 00:37:11 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20322.2,12049.3,0](GPS: 203222) (v0027A)
12-01-2016 00:37:43 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
12-01-2016 00:43:27 infiSTAR.de | Bayley(76561198037794465) | Spawning FIM-92F Stinger (CUP_launch_FIM92Stinger) on the ground infront of Bayley! (v0027A)
12-01-2016 00:43:29 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0027A)
12-01-2016 00:43:30 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0027A)
12-01-2016 00:43:35 infiSTAR.de | Bayley(76561198037794465) | Spawning MAAWS (CUP_launch_MAAWS_Scope) on the ground infront of Bayley! (v0027A)
12-01-2016 00:45:05 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
12-01-2016 00:46:08 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
12-01-2016 00:46:08 infiSTAR.de | Bayley(76561198037794465) | Teleported Yolo Actual(76561198117366071) from [20473.3,18523.4,0.00143862](204287) to [20473.3,18523.4,0.00143862](204287)  (0m) (v0027A)
12-01-2016 00:46:58 infiSTAR.de | Bayley(76561198037794465) | Teleport to [20472.9,18484.2,0](GPS: 204287) (v0027A)
12-01-2016 00:48:08 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Max Pain [GUER (R hano1509's Party)](76561198145600769) (v0027A)
12-01-2016 00:48:41 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
12-01-2016 00:48:41 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
12-01-2016 00:49:11 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_B_BM21_CDF @191236.. (v0027A)
12-01-2016 00:49:38 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19597.4,19228.7,0](GPS: 195294) (v0027A)
12-01-2016 00:50:24 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19099.2,13368.7,0](GPS: 190236) (v0027A)
12-01-2016 00:51:22 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19601,19228,0](GPS: 196294) (v0027A)
12-01-2016 00:52:02 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19099.2,13348.2,0](GPS: 190235) (v0027A)
12-01-2016 00:52:41 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19600.6,19228.3,0](GPS: 196294) (v0027A)
12-01-2016 00:52:49 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:52:59 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:53:32 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19098.2,13347.8,0](GPS: 190235) (v0027A)
12-01-2016 00:54:03 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19599.1,19227.4,0](GPS: 195294) (v0027A)
12-01-2016 00:54:14 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Max Pain [GUER (R hano1509's Party)](76561198145600769) (v0027A)
12-01-2016 00:54:14 infiSTAR.de | Bayley(76561198037794465) | Teleported Max Pain(76561198145600769) from [19102.3,13365.6,3.7309](191236) to [19102.3,13365.6,3.7309](191236)  (0m) (v0027A)
12-01-2016 00:54:27 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:32 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:39 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:42 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:45 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:48 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:51 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:56 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:54:59 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:03 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:07 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:11 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:14 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:16 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:21 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:26 infiSTAR.de | Bayley(76561198037794465) | UnFreeze Target - R Bravo 1-2:1 (Bayley)(76561198037794465) (v0027A)
12-01-2016 00:55:28 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:41 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:44 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:55:49 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
12-01-2016 00:56:09 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19105,13368.8,0](GPS: 191236) (v0027A)
12-01-2016 00:58:06 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Max Pain [GUER (R hano1509's Party)](76561198145600769) (v0027A)
12-01-2016 00:58:06 infiSTAR.de | Bayley(76561198037794465) | Teleported Max Pain(76561198145600769) from [19589.5,19179.1,0.00143886](195294) to [19589.5,19179.1,0.00143886](195294)  (0m) (v0027A)
12-01-2016 01:00:13 infiSTAR.de | Bayley(76561198037794465) | Heal - R Entrex's Party:1 (HeviMetalTitan) REMOTE(76561198044691069) (v0027A)
12-01-2016 01:06:01 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 1 (v0027A)
12-01-2016 01:06:36 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Fatalmachine [GUER (R hano1509's Party)](76561197960446964) (v0027A)
12-01-2016 01:06:59 infiSTAR.de | Bayley(76561198037794465) | Heal - R hano1509's Party:2 (Fatalmachine) REMOTE(76561197960446964) (v0027A)
12-01-2016 01:17:24 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Woodscruff [GUER (R Entrex's Party)](76561198032045954) (v0027A)
12-01-2016 01:18:10 infiSTAR.de | Bayley(76561198037794465) | Teleport to [16480.4,5263.8,0](GPS: 164155) (v0027A)
12-01-2016 01:24:04 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - IrwiniHoudini [GUER](76561198045579088) (v0027A)
12-01-2016 01:24:23 infiSTAR.de | Bayley(76561198037794465) | Heal - R FodderZachary:2 (HardCharger) REMOTE(76561198008333668) (v0027A)
