17-01-2016 14:30:50 infiSTAR.de | 0h 9min 18s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.26001s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.643398]). TopSpeed of Exile_Unit_Player is 24 speed was 125933. Player FPS: 72.0721. Alive for 283.384s -  [FPS: 17.9574|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:50 infiSTAR.de | 0h 9min 18s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.251007s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.643398]). TopSpeed of Exile_Unit_Player is 24 speed was 130450. Player FPS: 75.8294. Alive for 283.635s -  [FPS: 17.8971|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:50 infiSTAR.de | 0h 9min 19s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.255981s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.643397]). TopSpeed of Exile_Unit_Player is 24 speed was 127915. Player FPS: 79.602. Alive for 283.891s -  [FPS: 17.8571|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:51 infiSTAR.de | 0h 9min 19s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.26001s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.643398]). TopSpeed of Exile_Unit_Player is 24 speed was 125933. Player FPS: 72.0721. Alive for 284.152s -  [FPS: 17.7187|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:51 infiSTAR.de | 0h 9min 19s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.25s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.643398]). TopSpeed of Exile_Unit_Player is 24 speed was 130975. Player FPS: 75.8294. Alive for 284.402s -  [FPS: 17.6991|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:51 infiSTAR.de | 0h 9min 19s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252014s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.642954]). TopSpeed of Exile_Unit_Player is 24 speed was 129928. Player FPS: 80. Alive for 284.655s -  [FPS: 17.7778|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:51 infiSTAR.de | 0h 9min 20s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.259003s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640066]). TopSpeed of Exile_Unit_Player is 24 speed was 126422. Player FPS: 73.0594. Alive for 284.915s -  [FPS: 18.0383|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:52 infiSTAR.de | 0h 9min 20s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.247986s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640082]). TopSpeed of Exile_Unit_Player is 24 speed was 132039. Player FPS: 83.7696. Alive for 285.164s -  [FPS: 18.0791|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:52 infiSTAR.de | 0h 9min 20s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.248993s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640082]). TopSpeed of Exile_Unit_Player is 24 speed was 131505. Player FPS: 85.1064. Alive for 285.413s -  [FPS: 17.9171|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:52 infiSTAR.de | 0h 9min 20s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.251007s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640082]). TopSpeed of Exile_Unit_Player is 24 speed was 130450. Player FPS: 83.3333. Alive for 285.664s -  [FPS: 17.8571|SERVERTHREADS: 35] (v0027A)
