14-01-2016 08:53:28 infiSTAR.de | Dodds(76561198025627975) | God Mode - 1 (v0027A)
14-01-2016 08:53:31 infiSTAR.de | Dodds(76561198025627975) | UnlimAmmo - 1 (v0027A)
14-01-2016 08:53:32 infiSTAR.de | Dodds(76561198025627975) | noRecoil - 1 (v0027A)
14-01-2016 08:53:33 infiSTAR.de | Dodds(76561198025627975) | FastFire - 1 (v0027A)
14-01-2016 08:53:34 infiSTAR.de | Dodds(76561198025627975) | infiSTAR MapIcons - 1 (v0027A)
14-01-2016 08:53:35 infiSTAR.de | Dodds(76561198025627975) | infiSTAR Player ESP - 1 (v0027A)
14-01-2016 08:53:43 infiSTAR.de | Dodds(76561198025627975) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
14-01-2016 08:55:07 infiSTAR.de | Dodds(76561198025627975) | Teleport to [19504.4,19118.5,0](GPS: 195293) (v0027A)
14-01-2016 08:56:07 infiSTAR.de | Dodds(76561198025627975) | Exploding BlaSter_Jaxxx(76561198076063397) @191292 (v0027A)
14-01-2016 08:56:07 infiSTAR.de | Dodds(76561198025627975) | Explode - R Bravo 3-3:1 (BlaSter_Jaxxx) REMOTE(76561198076063397) (v0027A)
14-01-2016 08:56:21 infiSTAR.de | Dodds(76561198025627975) | Teleport - Target To Me - BlaSter_Jaxxx [GUER](76561198076063397) (v0027A)
14-01-2016 08:56:21 infiSTAR.de | Dodds(76561198025627975) | Teleported BlaSter_Jaxxx(76561198076063397) from [18861.5,18934.5,0.00866938](188291) to [18861.5,18934.5,0.00866938](188291)  (0m) (v0027A)
14-01-2016 08:56:40 infiSTAR.de | Dodds(76561198025627975) | Eject - BlaSter_Jaxxx [GUER](76561198076063397) (v0027A)
14-01-2016 08:56:46 infiSTAR.de | Dodds(76561198025627975) | Teleport - Target To Me - BlaSter_Jaxxx [GUER](76561198076063397) (v0027A)
14-01-2016 08:56:47 infiSTAR.de | Dodds(76561198025627975) | Teleported BlaSter_Jaxxx(76561198076063397) from [19229.9,19035.1,0.00143886](192292) to [19229.9,19035.1,0.00143886](192292)  (0m) (v0027A)
14-01-2016 08:57:02 infiSTAR.de | Dodds(76561198025627975) | Teleport - Target To Me - BlaSter_Jaxxx [GUER](76561198076063397) (v0027A)
14-01-2016 08:57:03 infiSTAR.de | Dodds(76561198025627975) | Teleported BlaSter_Jaxxx(76561198076063397) from [19430.4,19085.1,0.00143886](194293) to [19430.4,19085.1,0.00143886](194293)  (0m) (v0027A)
14-01-2016 09:00:05 infiSTAR.de | Dodds(76561198025627975) | Teleport to [20470.6,18509.1,0](GPS: 204287) (v0027A)
14-01-2016 09:00:40 infiSTAR.de | Dodds(76561198025627975) | Teleport to [12181.4,2129.45,0](GPS: 121123) (v0027A)
14-01-2016 09:01:51 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1410.85,1055.1,0](GPS: 014112) (v0027A)
14-01-2016 09:04:12 infiSTAR.de | Dodds(76561198025627975) | Teleport to [17758,2169.62,0](GPS: 177124) (v0027A)
14-01-2016 09:06:52 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1098.84,1155.74,0](GPS: 010113) (v0027A)
14-01-2016 09:07:19 infiSTAR.de | Dodds(76561198025627975) | Teleport to [19579.1,19221.3,0](GPS: 195294) (v0027A)
14-01-2016 09:08:22 infiSTAR.de | Dodds(76561198025627975) | Deleting CUP_B_CH53E_USMC @195294.. (v0027A)
14-01-2016 09:08:38 infiSTAR.de | Dodds(76561198025627975) | Vehicle God Mode - 1 (v0027A)
14-01-2016 09:09:40 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1149.87,1209.04,0.00889897](GPS: 011114) (v0027A)
14-01-2016 09:11:21 infiSTAR.de | Dodds(76561198025627975) | Teleport to [2526.03,4497.48,0](GPS: 025147) (v0027A)
14-01-2016 09:12:08 infiSTAR.de | Dodds(76561198025627975) | Stealth / Invisible - 1 (v0027A)
14-01-2016 09:13:51 infiSTAR.de | Dodds(76561198025627975) | Teleport to [17679.4,2505.74,0](GPS: 176127) (v0027A)
14-01-2016 11:18:10 infiSTAR.de | Syntax(76561198052079567) | God Mode - 1 (v0027A)
14-01-2016 11:18:11 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 1 (v0027A)
14-01-2016 11:18:12 infiSTAR.de | Syntax(76561198052079567) | infiSTAR Player ESP - 1 (v0027A)
14-01-2016 11:18:13 infiSTAR.de | Syntax(76561198052079567) | infiSTAR MapIcons - 1 (v0027A)
14-01-2016 11:18:15 infiSTAR.de | Syntax(76561198052079567) | Lower Terrain - 1 (v0027A)
14-01-2016 11:18:16 infiSTAR.de | Syntax(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
14-01-2016 11:18:17 infiSTAR.de | Syntax(76561198052079567) | Lower Terrain - 0 (v0027A)
14-01-2016 13:15:29 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
14-01-2016 13:15:30 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
14-01-2016 13:15:31 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
14-01-2016 13:15:32 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
14-01-2016 13:15:50 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6648.76,17235.6,0](GPS: 066274) (v0027A)
14-01-2016 13:16:37 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [6561.82,17194.6,0](GPS: 065274) (v0027A)
14-01-2016 13:16:45 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR AI ESP - 1 (v0027A)
14-01-2016 13:17:04 infiSTAR.de | King Heavy(76561197991198861) | Exploding King Heavy(76561197991198861) @065274 (v0027A)
14-01-2016 13:17:04 infiSTAR.de | King Heavy(76561197991198861) | Explode - R Echo 3-3:1 (King Heavy)(76561197991198861) (v0027A)
14-01-2016 13:17:14 infiSTAR.de | King Heavy(76561197991198861) | Exploding King Heavy(76561197991198861) @065274 (v0027A)
14-01-2016 13:17:15 infiSTAR.de | King Heavy(76561197991198861) | Explode - R Echo 3-3:1 (King Heavy)(76561197991198861) (v0027A)
14-01-2016 13:17:21 infiSTAR.de | King Heavy(76561197991198861) | Exploding King Heavy(76561197991198861) @065274 (v0027A)
14-01-2016 13:17:21 infiSTAR.de | King Heavy(76561197991198861) | Explode - R Echo 3-3:1 (King Heavy)(76561197991198861) (v0027A)
14-01-2016 13:18:25 infiSTAR.de | King Heavy(76561197991198861) | Deleting B_CargoNet_01_ammo_F @066275.. (v0027A)
14-01-2016 13:18:42 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1545.72,8223.3,0](GPS: 015184) (v0027A)
14-01-2016 13:19:23 infiSTAR.de | King Heavy(76561197991198861) | spawning Zamak Transport (Covered) (I_Truck_02_covered_F) (v0027A)
14-01-2016 13:20:06 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - [SDW] J. Matthews  [GUER (R [SDW])](76561198054772957) (v0027A)
14-01-2016 13:21:22 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - [SDW] Carpenter [GUER (R [SDW])](76561198055869592) (v0027A)
14-01-2016 13:21:34 infiSTAR.de | King Heavy(76561197991198861) | Deleting I_Truck_02_covered_F @016185.. (v0027A)
14-01-2016 13:27:57 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8235.88,9787.19,0](GPS: 082200) (v0027A)
14-01-2016 13:27:58 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8238.05,9788,0](GPS: 082200) (v0027A)
14-01-2016 13:28:04 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8218.3,9767.44,0](GPS: 082200) (v0027A)
14-01-2016 13:31:05 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7573.97,9458.6,0](GPS: 075196) (v0027A)
14-01-2016 13:31:11 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8564.66,9995.68,0](GPS: 085202) (v0027A)
14-01-2016 13:39:09 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7582.65,8936,0](GPS: 075191) (v0027A)
14-01-2016 13:40:05 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [10399.6,13070.1,0](GPS: 103233) (v0027A)
14-01-2016 13:40:23 infiSTAR.de | King Heavy(76561197991198861) | Teleport - Target To Me - Michael [GUER](76561198101655481) (v0027A)
14-01-2016 13:40:24 infiSTAR.de | King Heavy(76561197991198861) | Teleported Michael(76561198101655481) from [10403.8,13073.9,0.000648499](104233) to [10403.8,13073.9,0.000648499](104233)  (0m) (v0027A)
14-01-2016 13:41:23 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [12445.4,8144.89,0](GPS: 124183) (v0027A)
14-01-2016 13:42:06 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [12599.3,8955.07,0](GPS: 125191) (v0027A)
14-01-2016 13:42:43 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1625.61,8262.68,0](GPS: 016185) (v0027A)
14-01-2016 13:46:02 infiSTAR.de | King Heavy(76561197991198861) | Spawning Modular Tactical Vest (Patrol) (CUP_V_B_MTV_Patrol) on the ground infront of King Heavy! (v0027A)
14-01-2016 13:46:17 infiSTAR.de | King Heavy(76561197991198861) | Deleting GroundWeaponHolder @016185.. (v0027A)
14-01-2016 13:46:31 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [8605.66,10037.6,0](GPS: 086202) (v0027A)
14-01-2016 13:46:40 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
14-01-2016 13:50:37 infiSTAR.de | King Heavy(76561197991198861) | Spawning AR15 Magpul Carbine (hlc_rifle_RU5562) on King Heavy! (v0027A)
