19-01-2016 02:38:36 infiSTAR.de | 0h 10min 30s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.264648s (from [10382.9,1295.86,6.79983] to [590.444,494.509,0.00148201]). TopSpeed of Exile_Unit_Player is 24 speed was 133652. Player FPS: 45.3258. Alive for 1.5293s -  [FPS: 40.6091|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:36 infiSTAR.de | 0h 10min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.350586s (from [10382.9,1295.86,6.79983] to [590.444,494.509,0.00148201]). TopSpeed of Exile_Unit_Player is 24 speed was 100890. Player FPS: 35.9551. Alive for 1.88184s -  [FPS: 40.5063|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:36 infiSTAR.de | 0h 10min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.15625s (from [10382.9,1295.86,6.79983] to [590.444,494.509,0.00148201]). TopSpeed of Exile_Unit_Player is 24 speed was 226373. Player FPS: 31.4342. Alive for 2.03809s -  [FPS: 39.604|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:36 infiSTAR.de | 0h 10min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.25s (from [10382.9,1295.86,6.79983] to [590.455,494.5,0.00148106]). TopSpeed of Exile_Unit_Player is 24 speed was 141483. Player FPS: 50.4732. Alive for 2.28809s -  [FPS: 39.604|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:37 infiSTAR.de | 0h 10min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.256836s (from [10382.9,1295.86,6.79983] to [590.449,494.506,0.00146389]). TopSpeed of Exile_Unit_Player is 24 speed was 137717. Player FPS: 54.2373. Alive for 2.54492s -  [FPS: 40.7125|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:37 infiSTAR.de | 0h 10min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.272461s (from [10382.9,1295.86,6.79983] to [590.416,494.547,0.00143147]). TopSpeed of Exile_Unit_Player is 24 speed was 129820. Player FPS: 48.7805. Alive for 2.81738s -  [FPS: 40|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:37 infiSTAR.de | 0h 10min 32s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.362305s (from [10382.9,1295.86,6.79983] to [590.43,494.519,0.00141239]). TopSpeed of Exile_Unit_Player is 24 speed was 97627.2. Player FPS: 33.0578. Alive for 3.18066s -  [FPS: 40.404|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:38 infiSTAR.de | 0h 10min 32s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.177734s (from [10382.9,1295.86,6.79983] to [590.43,494.519,0.00141239]). TopSpeed of Exile_Unit_Player is 24 speed was 199009. Player FPS: 34.9345. Alive for 3.3584s -  [FPS: 40.3023|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:38 infiSTAR.de | 0h 10min 32s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.266602s (from [10382.9,1295.86,6.79983] to [590.43,494.519,0.00141144]). TopSpeed of Exile_Unit_Player is 24 speed was 132673. Player FPS: 47.3373. Alive for 3.625s -  [FPS: 38.835|SERVERTHREADS: 36] (v0027A)
19-01-2016 02:38:38 infiSTAR.de | 0h 10min 33s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9825m in 0.261719s (from [10382.9,1295.86,6.79983] to [590.703,494.316,0.00119877]). TopSpeed of Exile_Unit_Player is 24 speed was 135145. Player FPS: 39.5062. Alive for 3.8877s -  [FPS: 40.3023|SERVERTHREADS: 36] (v0027A)
