11-01-2016 11:45:27 infiSTAR.de | Ford(76561198068372718) | Vehicle God Mode - 1 (v0027A)
11-01-2016 11:45:28 infiSTAR.de | Ford(76561198068372718) | UnlimAmmo - 1 (v0027A)
11-01-2016 11:45:29 infiSTAR.de | Ford(76561198068372718) | Lower Terrain - 1 (v0027A)
11-01-2016 11:45:30 infiSTAR.de | Ford(76561198068372718) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
11-01-2016 11:45:32 infiSTAR.de | Ford(76561198068372718) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 11:45:57 infiSTAR.de | Ford(76561198068372718) | Teleport to [12598.3,8953.49,0](GPS: 125191) (v0027A)
11-01-2016 11:46:19 infiSTAR.de | Ford(76561198068372718) | Teleport to [1381.81,980.162,0](GPS: 013112) (v0027A)
11-01-2016 12:02:49 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
11-01-2016 12:02:50 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
11-01-2016 12:02:51 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 12:02:51 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 12:03:13 infiSTAR.de | Ford(76561198068372718) | Teleport to [16900.4,10273.7,0](GPS: 169205) (v0027A)
11-01-2016 12:04:41 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16830.1,10294.6,0](GPS: 168205) (v0027A)
11-01-2016 12:04:56 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16738.1,10426.1,0](GPS: 167206) (v0027A)
11-01-2016 12:05:20 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [17006.5,10449.4,0](GPS: 170206) (v0027A)
11-01-2016 12:07:14 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16932,10340.6,0](GPS: 169205) (v0027A)
11-01-2016 12:07:58 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5522.63,10206.3,0](GPS: 055204) (v0027A)
11-01-2016 12:08:02 infiSTAR.de | Ford(76561198068372718) | Teleport to [5503.69,10201,0](GPS: 055204) (v0027A)
11-01-2016 12:10:56 infiSTAR.de | Ford(76561198068372718) | Teleport to [1440.39,1345.21,0](GPS: 014115) (v0027A)
11-01-2016 12:11:45 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1439.04,1259.65,0](GPS: 014114) (v0027A)
11-01-2016 12:12:35 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 12:12:37 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 12:12:38 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0027A)
11-01-2016 12:12:39 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0027A)
11-01-2016 12:12:40 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0027A)
11-01-2016 12:12:40 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
11-01-2016 12:12:51 infiSTAR.de | Optima(76561198052079567) | Teleport to [1435.92,1399.98,0](GPS: 014116) (v0027A)
11-01-2016 12:18:48 infiSTAR.de | King Heavy(76561197991198861) | Restrain - R Bravo 1-2:1 (Ford) REMOTE(76561198068372718) (v0027A)
